CLLT_FP_PRNO,INCB_DVSN,ETRS_YM,FIRE_YM,BEFO_JOB,EDGB,BRCH_CODE
29474,P,199811,999912,자유업,고졸,14
29378,R,199812,200910,기타,고졸,156
23200,R,199309,200803,기타,고졸,158
8885,R,200501,200611,기타,전문대졸,107
8434,R,200409,200606,기타,대학졸,37
8340,R,200408,200606,보험관계인,고졸,98
21412,R,198908,200704,기타,고졸,128
8861,R,200501,200508,자유업,대학졸,80
8850,R,200412,200607,무직,대학졸,98
7867,P,200405,999912,보험관계인,#,269
1733,R,200007,201107,기타,#,141
27373,R,199710,200602,기타,고졸,140
29010,R,199807,201109,무직,고졸,116
8057,R,200407,200611,기타,#,154
9098,R,200503,200612,기타,고졸,116
4764,P,200208,999912,기타,#,58
7702,R,200404,200703,보험관계인,고졸,95
25624,P,199608,999912,기타,#,167
2356,P,200106,999912,기타,대학졸,25
9512,P,200506,999912,보험관계인,고졸,170
8863,R,200501,200606,기타,#,16
7713,R,200404,201105,자유업,고졸,281
9487,R,200506,200809,보험관계인,#,118
22821,R,199312,200709,기타,고졸,69
9303,R,200504,200802,보험관계인,전문대졸,89
4378,R,200205,200607,기타,고졸,61
9483,R,200506,200808,기타,#,84
8779,R,200412,200607,무직,고졸,147
10054,R,200511,200702,일반기업,고졸,109
23762,P,199405,999912,기타,고졸,116
6371,P,200308,999912,자유업,고졸,158
9481,R,200506,201407,기타,#,59
22097,P,199111,999912,기타,#,103
10012,R,200511,200605,기타,전문대졸,119
20500,R,198502,200803,기타,고졸,103
1599,P,200004,999912,무직,전문대졸,111
8639,R,200410,200806,기타,고졸,158
21249,R,198808,200902,기타,#,146
10057,R,200511,200805,회사원,전문대졸,57
10277,R,200601,200710,기타,고졸,16
10394,R,200602,201305,기타,고졸,25
22563,R,199206,200908,기타,고졸,145
4450,R,200204,200607,기타,고졸,74
10655,R,200603,200610,기타,대학졸,78
5463,R,200208,200708,보험관계인,고졸,73
9475,R,200506,201509,기타,#,318
5940,R,200304,201104,기타,고졸,279
24533,R,199508,200805,기타,고졸,111
10620,R,200603,200702,일반기업,#,38
21575,P,199007,999912,사기업체,고졸,55
24787,R,199508,200705,기타,고졸,163
3442,R,200104,201405,보험관계인,대학졸,163
11037,R,200606,200710,기타,고졸,83
4872,R,200210,200705,기타,전문대졸,205
7994,R,200406,200803,기타,고졸,37
11072,R,200607,200806,무직,전문대졸,237
23405,R,199407,200802,기타,대학원졸,49
10809,R,200605,200712,기타,전문대졸,16
10046,R,200511,200704,무직,#,118
10564,P,200603,999912,회사원,#,37
11315,R,200609,201201,기타,고졸,50
8793,P,200412,999912,자유업,#,154
11247,R,200608,201410,기타,고졸,158
24305,P,199509,999912,기타,#,45
3533,R,200104,201508,회사원,전문대졸,143
10964,R,200606,200710,보험관계인,#,51
11500,R,200610,200708,보험관계인,#,63
5620,R,200304,200804,자유업,고졸,103
11540,R,200611,201107,기타,전문대졸,49
10927,R,200606,201007,보험관계인,#,51
4981,R,200209,200807,무직,고졸,156
11211,R,200608,200708,보험관계인,#,114
11695,R,200612,200808,기타,고졸,80
7704,R,200404,201104,보험관계인,고졸,268
10869,R,200605,200712,일반기업,고졸,125
11675,R,200612,200801,기타,고졸,82
10624,R,200603,201511,기타,#,120
11349,R,200609,200710,기타,#,184
20602,R,197904,200707,기타,#,11
29721,R,199912,200905,기타,고졸,11
11919,R,200702,200710,교육부문,#,42
11913,R,200702,200710,기타,#,118
12190,R,200705,200806,기타,#,75
11840,R,200701,200901,기타,고졸,118
12271,R,200705,200805,회사원,#,112
11823,R,200701,200808,기타,#,58
9922,P,200510,999912,자유업,고졸,58
10220,R,200512,201603,기타,#,118
11954,R,200702,200712,보험관계인,#,51
12415,P,200707,999912,기타,고졸,158
7730,R,200405,200812,기타,대학졸,124
12710,R,200710,200901,기타,전문대졸,150
12758,R,200710,201102,기타,#,121
2433,P,200101,999912,기타,#,19
5211,R,200202,201108,회사원,대학졸,274
11291,R,200608,200907,기타,고졸,75
27722,P,199803,999912,기타,고졸,16
12443,P,200707,999912,기타,#,305
22975,P,199308,999912,기타,#,82
12921,R,200711,200906,기타,#,113
28031,P,199806,999912,기타,#,14
13035,R,200712,200901,기타,#,158
13115,R,200801,200805,일반기업,#,17
13230,R,200802,201303,기타,고졸,143
13189,R,200802,200812,회사원,#,176
5965,R,200302,200912,기타,고졸,106
21301,P,198906,999912,기타,#,11
11795,P,200701,999912,기타,고졸,45
13528,R,200804,201002,보험관계인,#,293
13423,R,200804,201503,기타,#,88
12643,R,200709,200812,기타,#,84
13175,R,200802,200812,기타,#,256
22734,P,199307,999912,기타,#,56
13161,R,200802,201501,회사원,대학졸,57
14019,R,200808,201301,보험관계인,고졸,187
21577,R,199005,201601,사기업체,#,19
8790,P,200412,999912,기타,전문대졸,13
14269,R,200810,200906,보험관계인,대학졸,112
14134,R,200809,201101,기타,고졸,90
14295,R,200810,201106,기타,#,21
14593,R,200901,201102,기타,#,112
25027,P,199608,999912,기타,고졸,42
26127,P,199708,999912,기타,고졸,16
14400,R,200811,201309,교육부문,대학졸,110
13653,R,200806,201503,기타,고졸,163
14220,R,200810,201112,기타,고졸,19
14748,R,200903,201009,기타,고졸,25
15176,R,200906,201104,보험관계인,고졸,281
14585,R,200901,201104,보험관계인,고졸,293
15291,R,200908,201104,회사원,대학졸,60
14752,R,200903,201012,기타,#,158
14499,R,200812,201508,기타,고졸,116
14943,R,200904,201202,기타,고졸,136
14335,R,200811,201001,기타,대학졸,16
14773,R,200903,201012,영업직(판,고졸,100
14575,R,200901,201212,기타,고졸,38
30341,R,199907,201109,기타,고졸,32
11938,R,200702,201104,보험관계인,고졸,276
15865,R,201001,201112,기타,#,60
25358,P,199606,999912,기타,고졸,84
15605,R,200910,201006,보험관계인,#,204
15517,P,200910,999912,보험관계인,전문대졸,291
15964,R,201002,201202,기타,대학원졸,78
16375,P,201005,999912,기타,대학졸,303
25351,R,199606,201503,기타,#,88
3472,P,200110,999912,기타,고졸,158
15551,R,200910,201110,기타,대학졸,141
15632,R,200910,201410,기타,#,120
16043,P,201002,999912,보험관계인,고졸,269
15523,R,200910,201107,기타,고졸,57
14358,P,200811,999912,자영업,고졸,158
16723,R,201008,201108,기타,고졸,100
4965,P,200203,999912,무직,#,154
26228,P,199711,999912,기타,고졸,13
13662,R,200806,201408,무직,#,57
11983,P,200703,999912,일반기업,고졸,37
15584,P,200910,999912,기타,고졸,45
16185,R,201003,201110,기타,전문대졸,150
16113,R,201003,201302,기타,전문대졸,57
17024,R,201012,201206,기타,#,47
14744,R,200903,201202,영업직(판,대학졸,156
14136,R,200809,201104,보험관계인,고졸,273
14954,P,200904,999912,기타,#,25
16362,R,201005,201502,기타,고졸,305
17444,P,201104,999912,보험관계인,고졸,289
16039,P,201002,999912,보험관계인,#,269
17393,R,201104,201305,기타,#,78
23151,P,199312,999912,기타,#,163
16915,R,201010,201407,기타,고졸,38
16695,R,201008,201303,보험관계인,#,265
17659,R,201106,201305,영업직(판,고졸,84
17669,P,201106,999912,보험관계인,고졸,279
15683,P,200911,999912,기타,고졸,59
17094,R,201012,201208,보험관계인,전문대졸,171
16543,P,201007,999912,기타,고졸,106
16204,R,201003,201501,기타,전문대졸,86
18209,R,201201,201402,기타,#,136
18122,R,201112,201302,기타,대학졸,319
9595,P,200507,999912,기타,고졸,146
17661,R,201106,201205,기타,고졸,44
17991,P,201110,999912,의료부문,#,167
14465,P,200812,999912,기타,고졸,111
15957,P,201002,999912,기타,#,116
16035,P,201002,999912,보험관계인,고졸,287
17031,P,201012,999912,기타,#,125
18494,R,201205,201311,기타,#,259
18451,R,201205,201402,기타,#,29
18779,P,201209,999912,기타,#,78
18245,R,201202,201309,기타,#,146
18942,R,201211,201312,기타,고졸,141
18194,R,201201,201302,기타,#,90
13191,P,200802,999912,기타,#,121
19129,R,201302,201310,기타,#,106
16750,P,201009,999912,기타,#,88
18975,P,201212,999912,기타,#,49
17907,P,201109,999912,기타,고졸,45
19155,R,201302,201403,기타,#,19
18767,R,201209,201510,기타,고졸,13
18958,R,201212,201403,기타,#,19
18529,R,201206,201311,기타,대학졸,160
10431,P,200602,999912,보험관계인,#,273
3054,R,200104,201412,보험관계인,#,103
19245,R,201304,201501,기타,대학졸,319
19448,R,201308,201403,기타,#,124
15794,P,200912,999912,기타,대학졸,55
19557,R,201310,201407,기타,#,21
17361,P,201103,999912,보험관계인,#,316
17788,P,201107,999912,보험관계인,#,287
14848,R,200904,201603,기타,대학졸,116
19148,P,201302,999912,기타,중졸,146
6613,R,200309,201502,기타,고졸,47
19670,R,201401,201502,기타,#,42
19928,R,201408,201511,보험관계인,고졸,273
19947,P,201409,999912,기타,대학졸,302
11374,P,200609,999912,기타,고졸,19
29944,P,199903,999912,기타,고졸,58
20015,P,201412,999912,영업직(판,#,154
23394,P,199410,999912,기타,고졸,13
20193,P,201506,999912,기타,#,154
20241,P,201509,999912,기타,#,303
18630,P,201207,999912,기타,#,29
19589,P,201311,999912,기타,#,32
19180,P,201303,999912,기타,#,42
22295,R,199210,200810,기타,#,21
1077,R,200009,200704,기타,대학졸,107
5647,R,200304,200411,보험관계인,#,197
6230,R,200307,200808,자유업,고졸,167
23533,R,199401,200710,사기업체,#,37
3942,R,200111,201308,보험관계인,중졸,307
26955,R,199705,200503,기타,고졸,145
6114,R,200302,200404,보험관계인,대학졸,199
5589,R,200204,200409,자유업,고졸,191
4825,R,200210,201008,무직,고졸,141
5603,R,200209,200501,회사원,고졸,171
24378,P,199509,999912,기타,#,86
24888,R,199601,201001,기타,고졸,55
2527,R,200107,201401,기타,#,322
7033,R,200312,200406,무직,고졸,37
6773,R,200310,200503,기타,#,21
6495,R,200308,200411,기타,고졸,45
24870,R,199603,200804,기타,고졸,17
31506,P,199903,999912,회사원,#,170
28927,R,199805,201501,기타,고졸,111
6303,R,200307,200902,기타,고졸,45
7120,R,200312,200406,기타,#,12
29802,P,199902,999912,보험관계인,#,16
6799,R,200310,200412,기타,#,61
5072,R,200201,200408,보험관계인,고졸,220
31396,R,199907,200510,무직,전문대졸,143
23757,R,199408,200410,기타,고졸,134
6380,R,200308,200412,무직,고졸,88
1261,R,200010,200503,기타,고졸,82
3630,R,200105,200409,기타,#,204
7895,R,200406,200410,기타,#,24
2631,R,200103,200609,기타,고졸,107
25554,P,199610,999912,기타,#,116
8080,R,200407,200509,기타,#,13
5341,R,200202,200608,보험관계인,고졸,85
7196,R,200401,200601,기타,대학졸,171
7982,P,200406,999912,기타,고졸,32
7005,P,200312,999912,자유업,#,17
24401,P,199503,999912,기타,고졸,88
7009,R,200312,200602,기타,#,74
7957,R,200406,200507,무직,#,141
28346,R,199803,200706,기타,고졸,37
8125,R,200407,200911,기타,고졸,125
8018,R,200406,200412,기타,#,74
8392,R,200409,200712,기타,고졸,120
4924,R,200209,200509,기타,고졸,158
8064,R,200407,200707,기타,#,11
6716,R,200310,200711,기타,고졸,75
6027,P,200302,999912,기타,대학졸,160
7272,P,200401,999912,기타,#,55
24383,P,199507,999912,기타,#,86
4736,R,200207,200704,기타,고졸,111
8935,R,200501,200512,보험관계인,전문대졸,66
7614,P,200404,999912,회사원,고졸,11
26731,R,199707,200907,무직,고졸,121
8768,R,200411,200512,보험관계인,#,83
28297,P,199806,999912,무직,고졸,32
9388,R,200505,200809,기타,#,74
8551,R,200409,200808,보험관계인,고졸,25
8988,R,200502,200511,보험관계인,#,24
3809,R,200111,200812,보험관계인,고졸,235
9601,R,200507,200901,금융부문,대학졸,150
6982,R,200312,200811,기타,고졸,145
5424,R,200207,201104,보험관계인,대학졸,276
9178,R,200503,200601,보험관계인,고졸,89
9622,R,200507,200811,기타,#,121
9678,P,200508,999912,무직,#,11
9076,R,200503,200703,기타,대학졸,96
8069,R,200407,200801,무직,#,146
24681,P,199511,999912,기타,고졸,160
9417,R,200505,200606,보험관계인,대학졸,98
5613,R,200205,200706,보험관계인,대학졸,119
8746,R,200411,200601,기타,고졸,77
26822,R,199705,200704,기타,고졸,128
5402,R,200206,200804,기타,중졸,235
7377,R,200402,201412,기타,#,116
9428,R,200505,200703,보험관계인,고졸,95
20489,P,198505,999912,기타,고졸,120
9936,R,200510,200702,무직,대학졸,141
9361,R,200505,200806,보험관계인,#,171
20703,P,198107,999912,기타,#,136
7772,R,200405,200904,기타,고졸,156
8284,R,200408,200705,회사원,#,118
3941,R,200111,201401,보험관계인,고졸,307
10172,R,200512,200702,회사원,고졸,108
6259,R,200307,201407,기타,#,38
10378,R,200601,201003,보험관계인,#,251
10350,R,200601,200606,보험관계인,#,41
7137,R,200401,200808,기타,고졸,38
10411,R,200602,200610,보험관계인,고졸,89
25865,R,199612,201403,기타,고졸,59
6864,R,200311,200710,기타,#,21
9173,R,200503,200811,보험관계인,대학졸,231
10106,R,200512,200606,보험관계인,고졸,114
2154,R,200009,200802,무직,고졸,88
24673,R,199506,200710,기타,고졸,158
25244,P,199607,999912,기타,고졸,45
5754,R,200305,201305,무직,고졸,259
10952,R,200606,200810,보험관계인,고졸,51
10860,R,200605,200707,기타,고졸,23
8762,R,200411,200707,보험관계인,#,97
10676,R,200604,200703,기타,고졸,160
28630,P,199809,999912,기타,고졸,299
7825,R,200405,200709,기타,#,86
11186,R,200608,200702,보험관계인,#,114
25781,R,199607,201102,일반공무원,고졸,160
11414,P,200610,999912,기타,대학졸,50
28842,P,199809,999912,무직,#,103
10185,R,200512,200711,무직,고졸,118
11485,R,200610,200710,기타,고졸,37
10668,R,200604,201412,기타,고졸,160
25284,P,199601,999912,기타,고졸,44
11812,R,200701,201108,기타,고졸,49
22338,P,199205,999912,기타,고졸,78
29412,P,199812,999912,기타,고졸,84
11621,R,200611,201001,보험관계인,전문대졸,277
11102,R,200607,200711,기타,대학졸,181
12001,R,200703,200808,영업직(판,고졸,163
12034,R,200703,200711,기타,#,111
11788,R,200701,200806,기타,대학졸,143
11880,R,200702,200908,기타,고졸,88
28105,P,199812,999912,기타,고졸,45
24411,P,199508,999912,기타,고졸,299
12480,R,200707,200808,보험관계인,#,177
1199,R,200002,201306,무직,고졸,80
11256,R,200608,200712,기타,고졸,58
12358,R,200706,200901,기타,고졸,136
11843,R,200701,201001,보험관계인,고졸,277
12672,R,200709,200909,보험관계인,전문대졸,191
11902,R,200702,200907,일반기업,고졸,44
12614,R,200709,201002,기타,#,11
13008,R,200712,200809,기타,고졸,29
29234,R,199804,200810,무직,고졸,205
13244,R,200802,201409,금융부문,#,163
12496,R,200707,200904,기타,#,232
13258,R,200802,201009,기타,고졸,299
13388,R,200803,201010,보험관계인,#,289
22877,R,199303,201605,기타,고졸,47
13516,R,200804,201204,보험관계인,#,312
9996,P,200510,999912,기타,대학졸,143
10808,R,200605,201204,기타,#,121
13699,R,200806,201202,기타,고졸,44
14215,R,200810,201203,보험관계인,#,204
4030,P,200102,999912,기타,대학졸,170
13559,R,200805,201203,기타,고졸,111
14043,R,200809,201206,영업직(판,#,145
13954,R,200808,201001,기타,대학졸,21
11400,P,200609,999912,보험관계인,#,312
13728,R,200806,201008,기타,고졸,29
14516,R,200901,201207,기타,고졸,143
14479,P,200812,999912,기타,대학졸,11
22547,R,199208,201501,기타,고졸,111
15168,R,200906,201108,보험관계인,전문대졸,170
3304,R,200104,201107,보험관계인,중졸,147
14796,R,200903,201009,기타,고졸,278
13948,R,200808,200912,자영업,고졸,50
13872,R,200807,201307,기타,전문대졸,300
15337,R,200908,201003,보험관계인,전문대졸,170
13857,P,200807,999912,기타,고졸,21
9367,P,200505,999912,기타,#,16
13933,R,200808,200912,기타,고졸,147
14275,R,200810,201308,기타,#,16
9548,P,200507,999912,자유업,#,118
20648,P,198011,999912,기타,#,88
14860,R,200904,201010,기타,고졸,32
15023,R,200905,201009,기타,대학졸,80
14396,R,200811,201604,보험관계인,고졸,279
12820,P,200710,999912,영업직(판,고졸,16
15172,R,200906,201101,기타,고졸,145
25855,R,199606,201310,기타,전문대졸,154
15197,R,200907,201003,기타,대학졸,150
13595,P,200805,999912,기타,#,55
15458,R,200909,201011,기타,고졸,45
15153,R,200906,201010,보험관계인,#,213
16137,R,201003,201503,기타,대학졸,113
15143,R,200906,201008,기타,고졸,45
31377,P,199903,999912,기타,#,154
4086,P,200212,999912,기타,#,19
16099,P,201002,999912,기타,고졸,111
16059,R,201002,201309,보험관계인,#,323
15609,R,200910,201101,기타,고졸,156
14002,R,200808,201010,보험관계인,#,289
16447,R,201006,201112,기타,대학졸,80
16514,P,201006,999912,기타,#,25
28654,P,199812,999912,기타,#,80
10656,R,200603,201502,보험관계인,고졸,155
16857,P,201010,999912,기타,#,84
29579,R,199906,201110,기타,#,124
14436,R,200812,201306,기타,#,116
1690,R,200011,201105,무직,대학졸,116
2955,R,200107,201504,기타,고졸,84
13458,P,200804,999912,기타,고졸,21
8825,P,200412,999912,기타,#,299
17591,P,201105,999912,기타,#,14
17612,R,201105,201312,교육부문,대학졸,113
17704,R,201106,201511,기타,#,259
17426,R,201104,201203,보험관계인,#,204
17210,P,201102,999912,기타,고졸,90
17512,R,201104,201507,기타,#,284
17647,P,201106,999912,보험관계인,#,269
17262,R,201102,201404,보험관계인,고졸,288
17701,R,201106,201201,보험관계인,#,270
9104,P,200503,999912,기타,#,11
18021,P,201110,999912,기타,고졸,49
17054,R,201012,201305,기타,#,124
17898,R,201109,201602,기타,고졸,45
15934,P,201001,999912,금융부문,#,143
10664,R,200604,201212,기타,대학졸,154
17710,R,201106,201308,금융부문,고졸,42
18088,P,201111,999912,기타,대학졸,96
18107,R,201111,201304,기타,#,146
17903,P,201109,999912,기타,#,44
17893,R,201109,201301,기타,대학졸,14
16747,P,201009,999912,기타,대학졸,38
16763,P,201009,999912,기타,#,86
18539,R,201206,201602,기타,#,88
18622,R,201207,201402,기타,고졸,305
18852,P,201210,999912,기타,고졸,318
18902,R,201211,201410,기타,고졸,88
17228,P,201102,999912,기타,#,125
17733,R,201107,201605,기타,#,75
19045,R,201301,201506,기타,대학졸,16
18923,R,201211,201409,기타,대학졸,143
17811,R,201108,201407,영업직(판,#,156
19052,P,201301,999912,보험관계인,전문대졸,191
16648,R,201008,201510,기타,#,82
10418,P,200602,999912,기타,#,55
18898,R,201211,201402,보험관계인,#,313
19186,R,201303,201407,기타,#,111
24008,P,199506,999912,기타,고졸,75
19037,P,201301,999912,기타,#,299
19035,R,201301,201404,기타,#,32
19608,R,201312,201501,기타,#,90
18318,R,201203,201406,기타,대학졸,21
17867,R,201108,201502,기타,고졸,111
17813,P,201108,999912,기타,#,45
19540,P,201310,999912,기타,#,120
19646,R,201312,201409,회사원,#,170
19669,R,201401,201410,기타,고졸,116
18613,P,201207,999912,기타,#,75
27849,P,199803,999912,기타,고졸,21
19789,R,201404,201604,기타,고졸,75
19844,R,201406,201501,회사원,#,57
19666,R,201401,201507,기타,#,13
18838,P,201210,999912,기타,#,145
19461,P,201308,999912,기타,고졸,13
18448,P,201205,999912,기타,#,305
20141,P,201503,999912,금융부문,고졸,280
19699,P,201402,999912,기타,#,29
18889,P,201210,999912,기타,고졸,299
20323,P,201603,999912,기타,#,302
26173,R,199703,200007,기타,#,99999999
26772,R,199703,200111,기타,고졸,103
23130,R,199303,200105,기타,고졸,141
23204,R,199311,199812,기타,고졸,158
27503,R,199801,199807,기타,고졸,55
26648,R,199709,199806,무직,고졸,88
20535,R,197109,200111,기타,고졸,99999999
21073,R,198801,200008,기타,고졸,78
26523,R,199701,200107,기타,고졸,42
23982,R,199503,200502,기타,고졸,55
27231,R,199708,199910,기타,고졸,156
24183,R,199502,200809,사기업체,고졸,78
22535,R,199212,199809,기타,#,105
26957,R,199706,199901,무직,고졸,145
26586,R,199711,199807,기타,고졸,90
26533,R,199705,200301,기타,고졸,42
22581,R,199211,199807,기타,고졸,141
29225,R,199803,199903,무직,고졸,99999999
26369,R,199711,200106,기타,고졸,45
23888,R,199409,199906,기타,#,143
28018,R,199804,199812,기타,고졸,64
22955,R,199303,200004,기타,고졸,80
26879,R,199711,199812,기타,고졸,106
28005,R,199805,199905,기타,고졸,99999999
23457,R,199409,200209,기타,#,64
29158,R,199807,199810,기타,고졸,150
21147,R,198804,200802,사기업체,고졸,113
6100,R,200304,201010,기타,고졸,156
3625,R,200104,200312,기타,대학졸,204
2661,R,200103,200502,기타,중졸,29
24788,P,199512,999912,기타,#,125
26168,R,199707,200404,무직,고졸,17
5172,R,200202,200603,보험관계인,고졸,68
1938,R,200006,200506,기타,고졸,205
24587,R,199508,200902,기타,고졸,141
3904,R,200111,200906,보험관계인,중졸,281
4600,R,200202,200601,기타,고졸,118
27099,R,199710,200603,무직,#,148
3984,R,200105,200512,회사원,고졸,191
29764,R,199911,200910,기타,고졸,69
30135,P,199902,999912,기타,고졸,45
20864,P,198702,999912,기타,고졸,11
7028,C,200312,200312,기타,고졸,163
26773,R,199705,201412,기타,#,103
6184,R,200306,201010,기타,고졸,49
6189,R,200306,200603,기타,고졸,66
27268,R,199710,200706,무직,고졸,205
5319,R,200202,200806,기타,고졸,244
7271,R,200401,200411,기타,고졸,32
894,P,200001,999912,기타,고졸,29
5049,R,200201,201104,보험관계인,고졸,274
3081,R,200102,200509,기타,대학졸,103
28204,R,199805,201012,기타,고졸,29
6516,R,200309,200407,무직,고졸,8
6504,R,200308,200410,기타,고졸,90
24464,R,199505,201210,기타,고졸,103
22530,R,199201,200912,기타,고졸,100
7567,R,200403,200406,기타,#,12
4531,R,200209,200609,기타,고졸,86
7961,R,200406,200601,기타,대학졸,16
7986,R,200406,200409,무직,고졸,160
23514,R,199403,201409,기타,#,59
7110,R,200312,200603,기타,고졸,191
26776,R,199709,200812,무직,고졸,103
6417,R,200308,200608,기타,전문대졸,116
29206,P,199804,999912,무직,고졸,167
28571,R,199807,200802,기타,#,88
21686,R,199001,200610,기타,고졸,84
3447,R,200103,200911,기타,#,163
7027,R,200312,201201,기타,#,29
22765,R,199301,201102,기타,#,19
8255,R,200408,200511,기타,고졸,24
26000,R,199706,200908,기타,고졸,55
2986,R,200104,200509,무직,고졸,118
7438,R,200403,200507,무직,고졸,84
8248,R,200408,200503,기타,#,24
2687,R,200104,200509,기타,전문대졸,47
4745,R,200207,200504,무직,#,111
3928,R,200111,201003,보험관계인,#,286
21582,R,199012,200611,기타,고졸,127
4808,R,200209,200801,기타,#,145
27217,R,199706,201404,기타,#,163
4669,R,200205,200703,자유업,고졸,108
7591,R,200404,200601,기타,고졸,160
490,R,200010,200803,기타,고졸,16
2023,P,200003,999912,무직,고졸,154
26190,R,199702,200910,기타,고졸,25
7629,R,200404,200810,기타,고졸,29
30876,R,199905,201203,기타,#,100
27244,R,199705,200801,기타,고졸,156
5233,R,200202,200902,보험관계인,고졸,238
23748,R,199403,201205,사기업체,고졸,111
8992,R,200502,200511,보험관계인,고졸,24
5071,R,200203,201002,보험관계인,고졸,281
27071,R,199712,201110,무직,고졸,163
9621,R,200507,200601,회사원,#,37
25716,R,199610,201301,기타,고졸,158
9235,R,200504,200705,회사원,#,163
9828,R,200509,200701,일반기업,#,135
9396,R,200505,200811,기타,#,50
25709,R,199605,201212,사기업체,고졸,158
21750,R,199012,200807,기타,고졸,106
9966,R,200510,200805,기타,고졸,121
3546,R,200109,200907,기타,고졸,156
9830,R,200509,200702,기타,고졸,45
25721,R,199602,201304,기타,#,125
10132,R,200512,200607,기타,고졸,61
9511,R,200506,201002,보험관계인,고졸,281
6971,R,200312,201606,기타,#,42
9929,R,200510,200703,자유업,대학졸,103
21134,R,198812,200611,학생,고졸,118
8689,R,200411,200606,기타,#,11
6257,R,200307,200612,보험관계인,고졸,99
7367,R,200402,200712,무직,대학졸,120
8110,R,200407,200905,기타,#,121
5103,R,200208,200606,보험관계인,고졸,98
22777,P,199306,999912,기타,#,21
20357,R,198309,200705,기타,중졸,104
10526,R,200603,200903,기타,#,240
9819,R,200509,200609,기타,#,90
6510,R,200309,200710,기타,고졸,69
8108,R,200407,200804,기타,#,88
24274,R,199509,200805,기타,대학졸,32
20865,P,198708,999912,기타,#,55
8856,P,200501,999912,회사원,#,37
7666,R,200404,200701,기타,#,14
9727,R,200508,200810,기타,#,156
30552,R,199909,201011,무직,중졸,86
9554,R,200507,200706,금융부문,고졸,13
5334,R,200210,200703,자유업,전문대졸,123
23709,P,199409,999912,기타,중졸,113
26375,R,199707,200904,기타,고졸,49
23860,R,199404,200809,사기업체,고졸,55
9933,P,200510,999912,무직,고졸,44
8882,R,200501,200701,기타,고졸,123
7841,R,200405,201507,기타,고졸,160
11044,R,200606,200701,기타,#,109
10077,R,200511,201001,보험관계인,고졸,266
4676,R,200206,200803,기타,고졸,113
11213,R,200608,200806,보험관계인,고졸,114
10545,R,200603,200701,일반기업,고졸,109
11287,R,200608,200710,기타,고졸,49
5568,R,200212,200903,보험관계인,고졸,241
11197,R,200608,200709,보험관계인,대학졸,114
11779,R,200701,201101,기타,#,16
10654,R,200603,201308,보험관계인,전문대졸,157
11844,R,200701,200811,기타,#,150
6248,R,200307,201111,기타,#,111
24658,R,199510,200907,기타,고졸,160
7804,P,200405,999912,기타,#,38
11511,R,200610,200705,보험관계인,고졸,77
11871,R,200701,200801,기타,#,80
2458,P,200104,999912,기타,#,23
11768,R,200701,200812,기타,고졸,124
23528,P,199404,999912,사기업체,#,305
11920,R,200702,200805,기타,고졸,59
11327,R,200609,200809,기타,대학졸,17
11722,R,200612,201108,보험관계인,고졸,274
12111,P,200704,999912,금융부문,#,16
22052,P,199108,999912,기타,고졸,86
21892,R,199107,201007,기타,고졸,75
9723,R,200508,201408,기타,#,17
12681,R,200709,200906,금융부문,#,49
