CUST_ID,DIVIDED_SET,SIU_CUST_YN,TOTALPREM,MINCRDT,JPBASE_HSHD_INCM
247,1,N,2939900,,1626
248,1,N,20431452,,1573
249,1,N,8555040,,1817
250,1,N,9308180,,1546
251,1,N,19289670,,3708
252,2,,53325233,,2245
253,1,N,23622461,,1918
254,1,N,3276000,,1984
255,1,N,73061476,6,3866
256,1,N,8160840,,1730
257,1,Y,22594317,6,2666
258,1,N,29736086,,1833
259,1,N,129026626,,5273
260,1,N,15402840,,3408
263,1,N,20121584,,1730
264,1,N,37166250,,
265,1,N,15614280,,3155
266,1,N,38655500,,1928
268,1,Y,24686700,,4336
269,2,,44537339,,3259
270,1,N,5686560,,5955
272,1,N,13510189,6,3245
273,1,N,4999000,,
275,1,N,332100,,2505
276,1,N,3561100,,6053
277,1,N,40103012,,4464
278,1,N,23411496,6,0
279,1,N,214730239,,7018
280,1,N,7872480,,0
281,1,N,14203794,,
282,1,Y,1192000,,4184
283,1,N,13812102,6,3451
284,1,N,16822292,,3402
286,1,N,4899183,,2989
288,1,N,22688412,,5168
291,1,N,90592742,4,0
292,1,N,20222545,6,0
293,1,N,15362300,,4654
294,1,N,37887208,,4897
295,1,N,12404975,,4893
296,1,Y,,,2708
297,2,,17482932,,0
298,1,N,22813552,,
300,1,N,596200,,7273
302,1,N,80024624,6,3875
303,1,N,7520800,,4037
304,1,N,38094810,6,2844
305,1,N,16520515,,1898
306,1,N,6130904,,10918
307,2,,9688350,,6144
308,1,N,36768336,,3878
310,1,N,18523243,,3199
311,1,N,18802408,6,11633
312,1,N,12026017,6,4745
313,1,N,161959071,6,3785
314,1,N,6288270,6,3163
317,1,N,9122370,,4864
319,1,N,7722600,,2289
320,1,Y,56770914,,6814
321,2,,20130960,6,0
322,1,N,3906370,6,2959
324,1,N,62864762,6,4202
325,1,N,6932202,,3824
326,1,Y,22224320,6,3707
327,1,N,37750544,,10145
328,1,N,37819033,6,4047
329,1,N,18909900,1,6485
330,1,N,4994899,,4248
331,1,N,18395096,,4187
332,1,N,32647092,,0
333,1,N,36632665,,4484
334,1,N,28312434,,2757
335,1,N,9899928,,3899
336,1,N,14064605,6,3848
337,1,N,,,10749
338,1,Y,17197486,6,4154
339,1,N,30533312,,4048
341,1,Y,21132660,7,4516
342,1,N,16144668,6,5258
343,1,N,21744934,,5307
344,2,,8047800,,8373
345,1,N,54903627,,3080
346,1,N,47204060,,3806
347,1,N,5839104,,6666
348,1,N,41589419,,4846
349,1,N,17859320,6,4050
350,1,Y,46359301,,9781
351,1,N,16824247,,0
352,1,N,11081279,,6837
353,2,,89841520,,7772
354,1,N,32327862,6,3886
356,1,N,7539283,,9870
357,1,N,16937850,,3505
358,1,N,44478900,8,6826
359,1,N,11614500,,
360,1,Y,29297133,,0
361,1,N,13446249,,0
362,1,N,13065220,,6270
363,1,N,24490760,6,4087
365,1,N,15819713,,3280
368,1,N,26793713,6,8579
370,1,N,35605358,6,3242
371,1,Y,1672300,,3188
372,1,N,,,0
373,1,N,32147298,6,5246
374,1,N,10922495,6,
375,1,N,4817400,,7183
376,1,N,5580560,,
378,1,N,3553964,,3700
379,1,Y,49266091,6,4238
382,1,N,3953038,,3220
384,1,N,60078667,,
385,1,Y,48717511,,0
386,1,N,47205121,,11028
388,1,N,13664644,,0
389,1,N,3185344,,6810
390,1,N,19043435,,5801
391,1,N,51900,6,
392,1,N,12615972,,3936
393,1,N,199210000,6,6722
394,1,N,16434075,6,6029
397,2,,6399000,6,1589
398,1,N,217918945,3,0
400,1,N,50420528,6,7815
401,2,,11688120,6,
402,1,N,11165698,3,
403,1,N,31735018,,4619
404,1,N,25552178,,5370
405,1,N,127613798,,
406,1,N,11172356,6,0
407,1,N,9698250,,
408,1,N,42033348,2,5474
410,2,,40811176,6,4389
411,1,Y,20024568,,
412,1,N,18435811,6,5453
413,1,N,47083032,1,0
414,1,N,33685185,6,3952
415,1,N,87597220,,5552
416,1,N,15964411,,3830
417,2,,29765490,,6264
419,1,N,49513128,,6272
421,1,N,10189074,8,3511
422,1,Y,93313771,6,6935
423,1,N,86794346,4,
424,1,N,7258828,8,5439
426,1,Y,52564721,,0
427,1,N,11730940,,
428,1,N,12450592,7,5582
429,1,N,152573891,6,9244
430,1,N,269758758,6,4554
431,1,N,37508038,6,6294
433,2,,36443547,6,6870
434,1,N,56820941,,6060
435,1,N,29990706,,11055
436,2,,76034255,6,5325
438,1,N,83500684,6,4666
439,1,N,2862400,,5411
441,1,N,42480980,,10376
442,1,N,57943608,6,6424
443,1,N,55336769,6,8153
444,1,N,22848409,6,
445,1,Y,13647085,6,
446,1,N,270040,,
447,1,N,29571833,,5118
448,1,Y,878944,6,4216
450,1,N,20358117,6,10549
451,2,,19295371,6,4795
452,1,Y,144010342,6,
453,2,,22883408,,
454,1,N,24659830,6,4958
455,1,Y,14124332,6,
456,1,Y,20388852,,4117
457,1,N,128846487,6,3962
458,1,N,70750,6,4579
459,1,N,26440705,,4039
460,1,N,41563859,6,9269
461,1,N,213925,6,5077
462,1,N,14139045,6,4549
464,1,N,6868738,,4728
465,1,N,6214741,,11954
466,2,,21280739,,4805
468,1,N,4193774,,6481
469,1,Y,21339882,6,4689
470,1,N,72027950,4,13399
471,1,N,18784806,,4603
472,1,Y,91721230,6,5906
473,1,Y,53883088,,6039
474,1,N,2444850,8,9501
475,1,N,59505561,9,4195
476,1,N,1658687,6,8546
478,1,N,5594516,5,4087
479,1,Y,,,
480,1,N,18919346,6,9031
481,1,N,92000,7,4484
482,1,N,47073225,6,5939
483,1,N,22646182,,9817
484,1,N,12761771,,7112
485,1,N,20211978,,7231
486,1,N,8764228,3,3929
487,2,,8758006,,5186
488,2,,34196442,6,8225
489,1,N,13967407,6,6406
490,1,N,51740320,6,7335
491,1,N,56902567,6,5457
492,1,N,114381036,4,5100
494,1,N,35078067,7,8253
495,1,N,78857399,6,4214
497,1,N,213673744,4,9897
498,1,N,8405296,,7764
499,1,N,31854426,,10272
500,2,,25835345,6,5535
502,1,N,6376264,,9325
503,1,N,22522348,,7520
504,1,N,16802158,6,5361
505,1,N,3600000,,9163
506,1,N,11082410,,
507,1,N,55631164,6,11052
508,1,N,,,3103
509,1,N,34176721,6,9916
510,1,N,55271300,6,3696
511,1,N,12236956,,4020
514,1,N,14262194,6,8964
515,1,N,102364573,,5168
516,1,Y,,,0
517,1,N,268099107,,5434
518,1,N,17206286,5,5343
521,1,N,10414926,,0
522,1,N,26810914,,5394
524,1,N,15490718,7,7893
525,1,Y,1029394,,4853
526,1,N,35645322,,3960
527,1,N,233068206,6,10751
528,1,Y,8237361,,4504
529,1,N,22296054,,4448
530,1,N,53792972,,4963
531,1,Y,110373302,,4944
532,1,N,,,3691
534,2,,30132998,,8505
535,1,N,86678063,6,10430
536,1,N,19038547,2,4847
537,1,N,38270564,6,9374
538,1,N,15267626,,4220
541,1,Y,9854625,,4233
542,1,N,24116656,,5342
544,1,Y,254732084,4,10802
545,1,Y,25613176,,4730
546,1,N,,,4263
548,1,N,38213095,6,6682
550,1,N,5027013,2,6766
551,1,N,124358376,2,10808
552,1,N,14342960,,5620
553,1,N,232881508,6,10972
554,1,N,5990335,,9782
555,1,N,10218887,6,4112
556,1,N,60672936,6,3901
557,1,N,21803565,,9768
558,2,,31657088,6,4079
559,1,N,1923900,6,5169
560,1,Y,4954600,,8727
561,1,Y,8549214,8,4218
562,1,N,247698,3,4951
563,1,N,41798359,6,6340
564,1,N,25430609,6,5626
565,1,N,11035141,6,4065
566,1,N,,10,9215
567,1,N,21691170,6,4309
568,2,,4291200,,8426
570,1,Y,6393070,,4544
572,2,,43700199,7,5851
573,1,N,11569240,0,6368
574,1,N,46696160,,3460
576,1,N,18285399,7,5291
577,1,N,11908156,6,3644
578,1,N,10968440,1,3217
579,1,N,43171929,6,9763
580,1,N,22972892,,5317
581,2,,7396052,8,4417
582,1,N,24292134,6,4478
583,1,N,69168015,8,7952
584,1,N,20643149,6,4710
585,2,,,6,10739
586,1,N,9233900,,10136
587,1,N,79529673,6,7842
588,1,N,102841419,5,6283
589,1,N,17965278,,8309
590,2,,17157667,,4829
591,1,N,6922825,6,7398
592,1,N,12485813,,11241
593,1,N,31784120,,4492
595,1,N,49053092,3,5309
596,1,Y,63894543,6,5229
597,1,N,38739293,,5008
598,1,Y,23120160,6,0
599,1,N,40404560,6,4781
600,1,N,125985535,1,10924
601,1,N,44395673,5,8448
602,1,N,46309286,1,5552
603,1,N,125923357,,8913
604,1,N,10985788,,4999
605,1,N,38606962,1,6925
606,1,N,13582720,9,4322
607,1,N,343740411,8,5088
608,1,N,,,4778
609,1,N,30444916,,4604
610,1,N,109642549,,4366
612,1,Y,38582490,7,3782
613,1,N,,7,3976
614,1,N,37328371,2,8015
615,1,N,21051642,,4083
616,1,N,9523198,9,6967
617,1,N,41792266,6,10393
619,1,N,145562364,6,9525
620,2,,56838583,6,4461
621,1,N,4976400,6,10499
622,1,N,7182436,,8896
623,1,N,14898210,,4942
624,1,N,67983182,,5587
625,1,N,10638583,4,4967
626,1,N,107888261,1,9867
627,1,N,32822366,,5934
628,1,N,6737000,8,4516
629,1,N,18504588,8,2992
630,1,N,4684167,,8823
631,1,N,174659634,,5914
632,1,N,75210024,6,12062
633,1,N,3123564,6,4030
634,2,,47999114,6,5714
635,1,Y,7552842,,3124
636,1,N,19868152,,6813
637,1,N,52318158,,5887
638,2,,14477136,6,4208
639,1,N,33889194,,5210
640,1,N,37508134,6,8740
641,1,N,50293050,1,10662
642,2,,45197058,2,8576
644,2,,17740660,6,4823
645,1,N,6315085,,10311
647,1,Y,15706830,8,4247
650,1,Y,13696095,3,5135
651,1,N,46000139,,4672
652,1,N,15849760,6,10765
653,1,N,16893213,8,5161
654,1,N,84841537,2,10657
656,1,N,226262515,1,4932
658,2,,46535882,6,4561
659,1,N,7389160,6,5098
660,1,N,47852541,6,8626
661,1,N,21712987,,7742
662,1,N,12594838,3,5194
663,1,N,79515171,6,4590
664,1,N,140673410,6,3466
665,1,N,141574174,6,13263
666,1,N,21341105,6,7220
667,1,N,33734755,6,9189
668,1,N,14467371,8,4255
669,1,N,60841658,6,4622
670,1,N,40618604,,3240
671,1,Y,7516825,,6814
672,1,N,50512786,6,3807
673,1,N,3835124,6,5717
674,2,,8686836,6,4672
675,1,N,15220287,6,9005
676,1,N,24854664,,7050
677,1,N,16493413,4,4436
679,2,,31312018,6,11081
680,2,,25542607,8,5304
681,1,N,73752271,6,4938
682,1,N,55460991,6,4721
683,1,N,8358655,7,7729
684,1,N,66192428,,4618
685,1,N,,,3589
686,1,N,35371361,7,5610
687,1,N,,,11917
688,1,N,27233201,6,9897
689,1,N,77351980,6,15840
690,2,,70361574,,8757
691,1,N,7448546,,4840
693,1,N,95463153,6,6580
694,1,N,43158218,6,5533
697,1,N,69509813,10,9143
698,2,,34157039,6,10881
699,1,N,9703049,,4787
700,1,N,177464883,6,11830
701,1,N,47129442,6,3003
702,1,N,22060662,,4678
704,1,Y,38363573,,5234
705,1,N,23248384,,4561
706,1,N,60863484,1,5105
707,1,N,205636393,6,9961
708,1,Y,10683329,,4337
710,1,N,18563336,6,3875
711,1,N,21932524,2,5744
712,1,N,3821260,,3926
713,2,,30623503,6,5641
714,1,N,11623805,6,12826
716,1,Y,39116747,7,4883
717,2,,10844850,6,8363
719,1,N,182927536,1,10981
720,1,N,26669250,6,4892
722,1,N,14511564,,5497
723,1,N,30189320,1,5254
725,1,N,29326041,6,7671
726,1,N,69985713,1,12842
728,1,N,35717989,6,10329
729,1,N,17226236,6,5271
733,1,N,21000000,,6154
734,1,N,21544288,10,4220
735,1,N,,6,5179
737,1,N,26062856,,10615
738,1,N,29426014,6,8732
739,1,N,15307692,,3661
740,1,N,34204174,,4564
741,1,N,1669856,6,4158
742,1,N,20231606,6,9824
743,1,N,37439130,,4965
744,1,N,40836446,4,3389
745,2,,36583762,4,5294
746,1,N,71932496,6,10974
747,2,,21570217,6,9137
748,1,N,65597118,6,8220
749,1,Y,45293753,8,3644
750,1,N,32694843,2,5198
753,1,N,124519259,4,
754,2,,5723040,,
755,1,N,63031844,7,4041
756,1,N,38972035,6,5206
757,1,N,4867800,,0
758,1,N,23141462,6,5370
759,1,N,23433484,5,4381
761,1,N,294642771,3,4518
762,1,N,1848000,,9245
763,1,N,64579673,6,10863
765,1,N,7144948,6,5383
766,1,N,31044849,6,5446
767,1,N,73939223,,11618
768,1,N,3200849,7,14204
769,1,N,47398477,,4169
770,1,N,10772677,6,8262
773,1,N,11841268,1,
774,1,N,7395870,8,3547
775,1,N,28844351,6,6043
776,1,N,4368681,2,5520
777,2,,6183366,,5824
778,1,N,25903209,,4139
779,1,N,7069160,,9145
780,1,Y,17209564,6,7812
781,1,Y,23054499,7,4607
783,1,N,5066163,,5086
784,2,,39256447,6,8280
785,1,N,50158850,,9103
786,1,Y,33551426,6,5838
787,1,N,51117243,,4503
788,1,N,67011753,6,9565
789,1,N,18449494,,6541
791,1,N,4466900,8,0
792,1,N,4207390,6,6034
793,2,,,,6063
794,2,,18529358,6,3536
795,1,N,80733842,6,10645
796,1,N,30700000,6,4879
797,1,N,36383578,6,4665
798,1,N,17452484,6,4521
799,1,N,38021017,6,9495
800,1,N,6122102,,5448
801,1,N,3503224,,5011
802,1,N,33008812,,7187
804,1,N,140840560,5,7503
805,1,N,15392472,6,6952
806,1,N,44086762,6,8436
807,2,,54112789,7,5435
808,1,N,18581447,1,8978
809,1,N,21390184,6,5317
810,1,Y,16626411,6,12630
811,1,N,7336592,2,5307
812,1,N,69900973,,10419
813,1,Y,4769902,,7292
814,1,N,11104411,6,9035
815,2,,23814163,1,4793
816,1,N,19734239,,6721
817,1,N,31527237,,6173
818,1,N,215395384,4,7990
819,1,N,9159933,6,4914
820,1,N,21150252,6,5188
821,1,N,27218437,10,8319
822,1,N,18908876,,8687
823,1,Y,1381800,6,4952
824,1,N,39532225,6,10318
825,1,Y,4902640,,
826,1,N,29243888,6,8741
827,1,N,3964350,6,8113
828,2,,30284027,6,4079
829,1,N,4864206,10,8761
830,1,N,6072879,,8929
831,1,N,41038657,6,4723
832,1,N,94713944,7,9990
833,1,N,7887592,,4795
834,1,N,69026680,6,5883
835,1,N,4473903,8,3163
836,1,N,10404186,6,7959
837,1,N,8078906,,5279
838,1,N,61342881,6,8882
839,1,N,36939839,6,4675
840,1,N,17754047,,8566
841,2,,13435016,,8757
842,1,N,62536733,6,10879
843,1,N,21469071,6,6541
844,1,N,5093010,2,10750
845,1,N,2071030,,4966
846,1,N,98051707,6,6207
847,1,N,52736252,5,10656
848,1,N,6738750,6,13982
849,1,N,25491581,7,7866
850,1,N,66326753,,4557
851,1,N,38296407,6,11019
852,1,N,39518123,6,5912
853,1,N,31336066,,8135
854,1,N,29514811,6,7583
855,1,N,5510274,6,3782
856,1,N,10403635,6,14233
857,1,N,41670496,,4527
858,2,,10339042,8,8087
859,1,N,124741928,4,10428
860,1,N,32403644,6,5076
861,1,N,29820048,6,4570
862,1,N,31565940,10,5843
863,1,N,267759184,1,9240
864,1,N,4367112,,3982
865,1,N,22548336,,5427
866,1,N,59907826,,10078
867,2,,53144568,6,5947
868,1,N,41115419,6,5176
870,1,N,11639391,6,4526
871,1,N,15428035,,4943
872,1,N,8095252,4,4597
873,1,N,51364350,6,12248
874,1,N,17466820,,9722
876,1,N,100890369,6,12184
877,1,N,9666276,8,6389
878,1,N,2569058,,10069
879,1,N,24567277,7,4921
880,1,N,6757600,6,11256
881,1,N,480750,6,8179
882,1,N,12637591,6,8916
883,1,N,37860408,5,5484
884,1,N,123928555,6,9726
885,1,N,49994382,6,4868
886,1,N,52515109,7,9078
887,1,N,43873348,2,10290
888,1,Y,47890132,,10561
889,1,N,5785610,6,7879
890,1,N,24932673,6,8846
891,1,N,39634408,,4609
892,1,N,29707284,6,4635
893,1,N,111755623,6,6249
894,1,N,58449927,6,5226
895,1,N,15232684,6,4761
896,1,N,30530965,4,10409
897,1,N,26351373,6,8873
898,2,,8465877,,7089
899,1,N,37948969,4,4796
900,2,,10228410,6,4248
901,1,N,86895154,1,9500
902,1,N,28974476,6,11098
903,2,,66691869,,
905,1,N,14707654,6,5894
907,1,N,35319057,,5224
908,2,,19823795,6,7102
911,1,N,1590860,,10201
912,1,N,9055800,,0
913,1,Y,36443633,7,4974
915,2,,29812450,,10319
917,1,N,15890170,10,4710
918,1,N,20182596,6,4622
919,1,N,424442416,6,10917
920,1,N,58120053,,5280
921,1,Y,6050100,,4616
922,1,N,6760884,,4594
923,1,N,5319428,6,8920
925,2,,67830988,1,9725
926,1,N,44689972,7,8198
927,1,N,32797751,,8091
928,1,N,6159654,2,4642
929,1,Y,6010933,7,
930,1,N,29216643,,9973
931,1,N,13251825,,8064
932,1,N,106909634,6,10891
933,1,N,5394339,8,7873
934,1,N,30408445,1,9627
935,1,N,35728592,3,5159
936,1,N,18827583,,4405
937,1,N,41121345,6,8127
938,1,N,4215173,,4626
939,1,Y,77282296,6,4387
940,1,N,6571226,5,4437
941,1,N,18096594,,9373
942,1,N,9916374,6,5083
943,1,N,25608624,6,7235
944,1,N,16232352,,8883
945,1,N,26710280,,9137
946,1,N,20164528,6,8651
947,1,N,219337024,,4885
948,1,N,13175688,,4334
949,1,N,38737422,6,5621
950,1,N,4712620,,4007
951,1,N,6295826,6,4511
953,1,Y,36275142,6,4755
955,1,N,5502700,,6095
956,1,N,32912060,,5969
957,1,N,307202763,6,9829
958,1,N,241294083,7,7513
959,1,N,2162158,8,5903
960,1,N,64858272,1,10243
961,1,N,7198765,7,4436
962,1,N,23302456,1,5694
963,1,N,23714049,,10288
964,1,N,7688932,,9320
965,2,,19888376,6,4818
966,1,Y,99395907,,10977
967,1,N,5828520,8,4479
968,1,N,39673552,2,11209
969,1,N,47678237,,4222
970,1,N,69245127,6,8037
971,1,N,20383193,,5255
972,1,N,33237722,5,12164
973,1,N,27267025,,9420
974,1,N,1334100,10,5120
976,1,N,35806092,6,5151
977,1,N,49377260,2,4243
978,1,N,27620737,6,4538
979,1,N,1640890,,5390
980,1,N,15438417,,5512
981,1,N,24153983,6,8988
982,1,N,21613964,5,4981
983,2,,67283720,6,9944
984,1,N,17059932,7,9437
985,1,Y,1684650,10,8243
986,1,N,168984291,2,4265
987,1,N,17229106,2,3564
988,1,N,958726,,3066
989,1,N,10404618,6,9028
990,1,N,8751415,6,4913
992,1,Y,6347050,8,4072
993,1,N,18781960,,7743
994,1,N,8333240,6,9846
995,1,N,74912870,1,4796
996,1,N,12288464,,4644
997,1,N,525170,8,3109
998,1,N,7014614,,4518
999,1,N,12198797,,4355
1000,1,N,22312377,1,4709
1001,1,N,33852513,6,10175
1002,1,N,18152359,,4652
1003,1,N,91979242,6,5802
1004,1,N,11111336,6,3373
1005,1,Y,6057066,,5221
1006,1,N,16270456,6,3506
1007,1,N,49780259,,4332
1008,1,N,43794700,,8738
1009,1,N,1568420,7,4645
1010,1,Y,12906876,,4570
1011,1,Y,1860400,6,4772
1012,2,,11974786,,8333
1013,1,N,31522272,6,4631
1014,1,N,7257000,,5071
1016,1,Y,4341428,,8499
1017,1,N,8187074,6,7926
1018,1,N,32193946,,4831
1019,1,Y,16027247,7,5053
1020,1,N,43780414,1,4544
1021,1,N,5979084,,8382
1022,1,Y,14769574,7,4728
1023,1,N,6895150,,5278
1024,1,N,11493778,7,
1025,1,N,24169868,6,5078
1026,1,N,35251549,1,5393
1027,1,N,17481535,6,11477
1028,1,N,12401406,,5582
1029,1,N,27793577,,8152
1030,1,N,7985282,6,4850
1031,1,N,2959983,6,5734
1033,1,N,6315828,8,5498
1035,1,N,26269464,,5176
1036,1,N,29515608,6,4809
1037,1,N,19810593,,4605
1038,1,N,13868034,4,5057
1039,1,N,16455185,,3922
1041,2,,18855040,6,4661
1042,1,N,19495894,6,5060
1043,1,N,26937838,6,4760
1044,2,,42268337,,5070
1045,1,N,13946949,7,5759
1046,1,N,5701880,,4980
1047,1,N,42024822,,4170
1048,1,N,34338979,6,4211
1049,1,N,13580675,7,4708
1050,1,N,5329215,6,3301
1051,1,N,14756819,6,8918
1052,1,N,,6,5118
1053,1,N,4430768,6,9499
1054,1,N,24972159,,10532
1055,1,N,2739280,28,4155
1056,1,N,1517000,6,4136
1057,1,N,37726210,6,9352
1058,1,Y,30108487,6,10261
1059,1,N,12015470,6,4230
1060,1,N,100751055,1,4930
1061,1,N,35916301,6,4550
1062,1,N,154884490,6,14475
1063,1,Y,35639253,6,3823
1064,1,N,106850629,6,9751
1065,1,N,4783661,6,9816
1066,1,N,6014237,,5267
1067,2,,24970158,6,2772
1068,1,Y,12808790,8,3898
1069,1,N,50639416,,9157
1070,1,N,24863904,,5074
1071,1,N,4269680,6,4700
1072,1,Y,8446595,6,4143
1073,1,N,133259073,6,5233
1075,1,N,23590050,6,4500
1076,1,N,25702355,6,4241
1077,1,N,9977015,,9153
1078,1,N,14643662,6,3767
1079,1,N,23862536,6,4719
1080,1,N,22987463,6,10138
1081,1,N,143649375,6,5103
1082,1,N,35476548,6,8563
1084,1,Y,95332125,3,3945
1085,1,N,13647714,7,4813
1086,1,Y,88154035,6,3620
1087,1,N,8003626,6,4455
1088,1,N,3157874,,4554
1089,2,,22440624,6,5152
1090,1,N,39253906,7,5303
1091,1,N,35856270,,4556
1093,1,N,5656716,,8278
1094,1,N,18443509,6,3741
1095,1,N,73183426,6,10710
1096,1,N,8222800,,10140
1098,1,N,55287817,6,5543
1099,1,N,125421251,2,4639
1100,1,Y,2597309,9,7924
1101,1,N,4756702,6,4484
1102,1,N,731200,10,7700
1103,1,N,7069206,,4724
1104,2,,22012073,6,4599
1105,1,N,49564332,,8736
1106,1,N,49823192,6,4779
1107,2,,21530668,6,7733
1108,1,N,22497198,,6048
1110,1,N,26533877,,4406
1111,1,N,8374500,,0
1112,2,,220477688,1,4583
1113,1,N,31320453,6,4979
1114,1,N,2400000,6,4061
1115,1,N,5989235,4,8586
1116,2,,23333489,1,8019
1117,1,N,23023806,,4137
1118,1,N,7955000,,4202
1119,1,N,4968380,,4350
