,SIU_CUST_YN,SEX,AGE,FP_CAREER,OCCP_GRP,TOTALPREM,MAX_PAYM_YEAR,MAX_PAYM_MONTH,MAIN_INSR_AMT_SUM,EXPR_SUM,WORK_YEARS_MIN,EXPR_COUNT
115,1,2,5,0,3,11,2003,5,386900000.0,6,1,11
116,0,2,4,0,3,3,2008,2,265000000.0,4,0,7
117,0,1,5,0,6,0,2010,12,145000000.0,3,5,4
118,0,2,4,0,3,2,2011,8,697743176.0,7,1,13
119,0,2,6,0,2,6,2009,7,291000000.0,6,10,9
120,0,1,4,0,8,2,2001,2,212307690.0,0,3,5
121,0,2,5,0,3,33,2016,4,751400000.0,12,1,15
122,0,1,5,0,16,2,2016,6,50000000.0,1,5,1
123,0,2,5,0,15,6,2004,6,540462969.0,9,0,14
124,0,2,6,0,3,1,2003,5,52500000.0,0,26,5
125,0,2,5,0,2,5,2015,1,376000000.0,8,2,15
126,0,2,4,0,3,0,2008,11,30000000.0,1,1,1
127,0,2,5,0,2,7,2009,3,310000000.0,4,1,9
128,0,2,5,0,3,8,2014,9,290000000.0,5,0,7
129,0,1,4,1,9,1,2012,5,220000000.0,6,5,7
130,0,1,4,0,16,1,2016,6,134000000.0,5,1,7
131,1,2,6,1,24,0,2009,7,127600000.0,2,0,10
133,0,2,4,1,1,2,1999,10,123062433.0,1,0,11
134,0,2,3,0,3,0,2004,11,276926130.0,7,2,8
135,0,1,6,0,16,1,2004,8,278344960.0,7,0,9
136,0,2,5,0,3,7,2008,9,420000000.0,7,1,13
137,0,2,6,0,3,1,2016,6,137301038.0,6,1,9
138,0,2,6,1,9,20,2002,3,1693171671.0,19,5,39
139,0,1,6,0,7,4,2015,10,142000000.0,2,20,2
140,1,2,4,1,3,12,2003,4,494991815.0,7,0,14
141,0,2,4,0,3,21,2013,10,902160480.0,18,3,22
142,0,2,5,0,2,11,2014,9,330000000.0,5,3,9
143,0,2,4,0,3,18,2007,10,658004931.0,8,6,18
146,0,2,5,1,23,1,2005,2,150000000.0,3,1,6
147,0,2,4,1,9,13,2001,12,787309542.0,15,2,35
148,1,1,6,0,2,1,2004,6,440000000.0,2,0,14
149,0,2,6,0,3,2,2004,12,171000000.0,6,5,6
150,0,2,4,0,2,1,2016,6,149000000.0,5,7,5
151,0,1,4,0,10,2,2012,1,290000000.0,4,5,6
152,0,1,3,0,6,1,2009,2,204285714.0,4,1,6
153,0,2,3,0,3,0,2013,1,536845920.0,16,0,21
154,0,2,5,0,3,9,2014,1,424400000.0,4,1,8
155,0,2,6,0,3,2,2013,9,40000000.0,2,7,2
156,0,2,5,0,9,5,2012,4,373200000.0,9,1,10
157,0,1,4,0,15,15,2011,12,4094142344.0,60,0,71
158,0,2,5,0,9,4,2013,6,224000000.0,5,0,6
159,0,2,5,0,3,1,2004,8,35891271.0,1,6,3
160,0,2,5,0,3,2,2016,1,209138943.0,4,6,4
161,0,2,5,1,9,0,2013,12,111900000.0,4,1,11
162,1,2,4,0,3,2,2006,12,161433780.0,5,4,6
163,0,2,6,0,9,3,2014,11,271400000.0,7,0,10
164,0,2,5,0,3,3,2014,10,232200000.0,5,1,11
165,0,1,4,0,1,8,2015,12,658270840.0,17,1,22
166,0,2,6,0,3,3,2014,10,277920880.0,9,1,9
167,0,2,4,0,8,6,2007,8,394973610.0,7,3,11
168,0,2,5,0,3,0,2002,6,385000000.0,3,1,9
169,0,2,4,1,9,10,2003,11,865189833.0,18,3,36
170,0,2,6,0,2,1,2009,9,87000000.0,0,1,8
171,0,2,4,0,18,42,2015,2,3012719080.0,29,2,36
172,0,1,4,0,8,2,2009,1,241476322.0,6,1,8
173,0,2,5,0,8,3,2003,8,356939230.0,7,4,10
174,0,1,3,0,1,3,2006,2,195687023.0,3,12,7
175,0,1,5,0,2,5,2009,11,110000000.0,2,3,2
176,1,1,4,0,1,3,2008,2,192000000.0,5,3,5
177,0,2,5,0,3,5,2013,10,286366247.0,8,5,16
178,0,2,5,0,2,10,2015,11,530089420.0,7,1,11
179,0,2,5,0,19,2,2001,1,165600000.0,1,1,9
180,0,1,5,0,2,1,2007,3,70000000.0,1,14,2
181,0,2,5,0,3,6,2016,6,178896797.0,3,1,5
182,1,2,5,1,3,5,2008,11,222000000.0,3,0,7
183,0,2,5,0,3,1,2004,1,50000000.0,1,1,1
184,0,1,4,0,8,1,2004,1,400000000.0,5,2,6
185,1,2,5,1,3,5,2011,1,401169010.0,10,1,11
186,0,1,5,0,2,2,2016,6,140000000.0,3,17,5
187,0,1,6,0,7,1,2003,5,10000000.0,0,17,1
188,0,2,6,0,3,0,2016,6,106645460.0,4,1,6
189,0,2,4,0,3,2,2006,1,135866300.0,5,1,6
190,0,2,4,0,3,2,2008,11,171000000.0,3,1,5
191,0,1,7,0,7,3,2011,9,177823868.0,5,0,13
192,0,2,5,0,3,1,2004,3,162476874.0,2,4,5
193,1,2,6,0,3,5,2008,7,537200000.0,11,1,15
194,0,1,4,0,2,3,2013,11,680559570.0,12,1,17
195,0,2,6,0,2,0,2004,6,10000000.0,0,5,1
196,1,2,4,1,1,4,2013,8,1397773230.0,15,1,35
197,0,2,5,1,3,13,2013,3,714609135.0,13,1,17
198,0,1,4,0,8,4,2004,7,164400000.0,4,0,6
199,0,2,4,0,3,2,2009,10,316000000.0,9,21,11
200,0,1,5,0,2,2,2001,5,145000000.0,3,1,5
201,0,1,4,0,8,3,2013,4,85004790.0,3,2,4
202,0,1,4,0,4,14,2009,5,230000000.0,7,1,7
203,0,2,4,0,3,3,2014,2,152500000.0,4,4,7
204,0,2,5,0,2,2,2016,6,111000000.0,3,3,4
205,0,2,3,0,3,1,2015,5,295000000.0,3,5,5
206,0,1,5,0,1,0,2002,7,110000000.0,1,1,3
207,0,1,4,0,10,1,2012,8,124359714.0,3,0,4
208,0,1,6,0,6,6,2007,4,120000000.0,2,2,4
210,0,1,5,0,8,3,2010,6,154000000.0,4,13,4
211,0,2,6,0,3,9,2007,3,240285166.0,4,1,7
212,0,2,5,0,19,7,2008,2,185200000.0,2,2,8
214,0,2,4,0,3,0,2010,9,130614082.0,5,13,7
215,0,2,3,0,24,2,2015,10,215000000.0,4,2,10
216,0,1,5,0,2,2,2016,6,80000000.0,2,3,4
217,0,2,5,0,2,2,2006,3,279981950.0,7,0,10
218,0,1,5,0,8,3,2001,3,1011603670.0,12,1,19
219,1,2,4,0,2,1,2005,9,50000000.0,1,4,1
221,0,2,5,0,2,14,2011,4,1288939284.0,29,1,30
222,0,2,5,0,4,10,2011,4,232000000.0,4,2,13
223,0,2,4,0,3,3,2005,11,272000000.0,4,1,6
225,0,2,4,0,3,0,2003,5,119101350.0,2,2,7
226,0,1,6,0,6,0,2016,6,40000000.0,0,5,2
227,0,1,5,0,8,6,2007,10,108371990.0,3,6,6
228,0,1,6,0,2,1,2015,5,100000000.0,1,1,4
230,0,1,5,0,1,2,2008,1,62562660.0,3,6,4
231,0,1,6,0,8,7,2008,11,212500000.0,5,2,8
232,0,2,6,0,2,1,2016,6,123000000.0,3,36,3
233,0,2,4,0,3,2,2009,1,172151515.0,3,1,7
235,0,1,5,0,1,1,2016,6,10000000.0,0,0,2
236,0,2,3,0,21,0,2006,3,30000000.0,1,4,1
238,0,2,5,0,3,8,2014,10,312503430.0,9,21,12
239,0,2,5,1,9,1,2005,5,252000000.0,6,1,9
240,0,2,4,0,3,1,2013,5,84000000.0,0,5,3
241,0,2,4,1,9,5,2014,8,258200000.0,7,1,11
243,0,2,5,0,3,3,2009,1,205000000.0,6,19,6
245,0,2,3,0,9,1,2011,7,177000000.0,3,1,6
246,0,1,3,0,2,5,2013,12,125000000.0,2,1,3
247,0,2,5,0,9,1,2009,9,190000000.0,6,2,9
248,0,2,5,0,9,4,2013,8,181057270.0,6,1,10
249,0,2,4,0,3,4,2016,6,207000000.0,8,0,9
250,1,2,4,1,9,2,2007,8,202600000.0,5,0,7
251,0,1,5,0,6,1,2016,4,81000000.0,3,7,3
252,0,1,4,0,8,1,2013,10,241728972.0,4,21,7
253,0,1,5,0,9,1,2007,12,140000000.0,3,4,3
254,0,2,4,0,3,1,2002,5,165000000.0,2,0,5
255,0,2,4,0,19,7,2003,11,379815952.0,12,2,18
256,1,2,4,0,9,13,2009,2,380832622.0,7,1,10
257,0,2,4,0,3,3,2007,4,251000000.0,4,0,8
258,0,2,4,1,2,4,2010,1,578296300.0,6,1,17
259,0,2,3,1,1,12,2007,12,1366622056.0,27,0,41
260,0,2,4,0,3,2,2004,9,90000000.0,2,2,2
261,0,2,3,0,3,4,2015,9,245505051.0,3,1,5
262,0,2,3,0,3,0,2012,10,80000000.0,1,1,2
263,1,1,6,0,1,7,2012,6,252423550.0,5,0,8
264,0,2,5,1,9,8,1998,12,484400000.0,5,3,26
265,0,2,6,0,24,15,2009,5,311081080.0,6,2,8
267,0,2,6,0,3,9,2012,4,419209740.0,6,3,7
268,0,1,3,0,5,0,2007,12,70000000.0,1,1,1
269,0,2,3,0,3,2,2002,10,248147110.0,5,0,12
270,1,1,5,0,1,25,2005,2,646950000.0,13,1,17
271,0,2,5,1,3,18,2012,8,372322322.0,12,1,17
272,0,2,4,0,3,5,2002,11,285558748.0,3,1,12
273,0,1,5,0,7,0,2008,7,198636660.0,3,1,5
274,0,2,5,0,3,0,2008,8,75036000.0,3,12,3
275,0,2,4,0,3,7,2012,4,360000000.0,4,12,4
276,0,2,5,0,3,2,2009,9,418314813.0,9,6,12
277,0,2,4,0,3,4,2005,3,194000000.0,3,4,7
278,0,2,3,0,3,0,2013,2,45000000.0,0,4,4
279,0,2,4,0,9,3,2012,3,135200000.0,5,16,5
280,0,2,4,0,4,2,2015,3,195000000.0,5,3,6
281,0,2,6,0,2,5,2011,5,484873800.0,12,1,15
283,0,1,4,0,1,5,2009,4,490000000.0,5,3,6
284,0,2,3,0,3,1,2016,2,268900369.0,4,9,6
285,1,2,5,0,3,0,2004,5,100000000.0,1,1,2
286,1,2,5,0,9,0,2011,9,100000000.0,0,1,2
287,0,2,5,0,2,4,2012,7,301740000.0,3,1,6
288,0,1,4,0,2,3,2016,5,357019547.0,8,2,10
289,0,2,3,0,3,3,2014,4,127000000.0,4,1,5
290,0,2,3,0,9,14,2012,8,709481980.0,16,1,18
291,0,2,5,0,3,2,2003,5,110000000.0,1,5,5
293,0,2,4,0,9,1,2016,6,244500000.0,4,12,5
294,0,1,5,0,1,3,2003,5,55000000.0,1,9,2
295,0,2,4,0,9,1,2006,6,109846580.0,2,1,4
296,0,2,5,0,3,2,2009,12,107150000.0,3,2,5
297,0,2,6,0,25,5,2016,5,664400000.0,17,7,20
298,1,2,6,0,25,14,2010,10,730860586.0,9,5,15
299,0,1,5,0,8,0,2012,6,72000000.0,5,0,5
300,0,2,4,0,4,4,2010,1,166884070.0,3,5,4
301,0,2,4,0,3,0,2016,6,80000000.0,2,9,2
302,0,1,4,0,1,1,2013,5,471500000.0,8,1,9
303,0,2,4,1,3,1,2014,7,211100000.0,6,4,8
304,0,2,5,0,3,9,2016,6,184194090.0,4,0,6
305,0,2,4,0,9,3,2015,7,176000000.0,4,2,5
306,0,2,5,0,9,4,2013,9,380000000.0,8,1,8
307,0,2,3,0,3,0,2012,9,321116130.0,7,1,9
308,0,2,5,0,2,23,2006,12,368850000.0,10,0,11
309,0,2,6,1,19,2,2007,5,253000000.0,3,0,11
310,0,2,4,0,3,6,2014,2,480645616.0,11,2,14
311,0,2,5,0,8,2,2010,11,78689130.0,3,1,4
312,0,2,4,0,3,8,2016,6,295609010.0,6,1,9
313,0,2,4,0,2,4,2011,6,520177470.0,7,2,8
314,0,2,5,0,3,5,2016,5,227116769.0,5,12,6
315,0,2,3,0,3,4,2015,3,292138581.0,3,2,10
316,0,1,5,0,12,0,2003,5,58000000.0,1,6,3
317,0,1,5,0,10,9,2014,4,688501590.0,11,0,22
318,0,2,5,0,3,5,2010,12,482483334.0,9,1,23
319,0,2,5,1,9,0,2016,5,54000000.0,2,3,2
320,0,2,5,0,3,2,2012,2,108090910.0,1,7,5
322,0,2,4,0,15,2,2016,6,207000000.0,5,1,6
323,0,2,4,0,3,1,2002,10,99168459.0,2,0,6
324,0,2,6,0,2,0,2003,5,362000000.0,6,4,7
325,0,2,4,1,2,0,2004,4,297800000.0,5,1,8
326,0,2,5,0,2,0,2016,6,20000000.0,1,4,2
327,0,2,5,0,18,7,2008,1,376423138.0,6,1,9
328,0,1,6,0,9,0,2005,2,450242023.0,10,2,19
329,0,2,3,0,3,0,2016,6,30000000.0,1,2,1
330,0,2,4,0,3,0,1998,10,90000000.0,3,1,4
331,0,1,4,0,7,0,2011,11,618449412.0,10,3,12
332,0,2,4,0,9,0,2016,6,149000000.0,2,11,5
333,0,2,4,0,3,0,2016,6,50000000.0,2,11,2
334,1,2,4,1,9,5,2006,10,246000000.0,4,1,7
335,0,1,3,0,1,0,2014,12,302000000.0,4,1,7
336,0,2,5,1,2,5,2014,6,313500000.0,5,1,7
337,0,2,6,0,1,2,2014,3,185000000.0,2,6,6
338,0,2,4,0,3,1,2008,12,235000000.0,4,1,7
341,0,1,6,0,8,2,2015,8,116649638.0,2,4,3
342,0,2,3,0,3,0,2010,8,114945055.0,3,1,3
343,1,2,5,1,9,11,2001,3,605360580.0,4,3,39
344,1,2,5,0,3,8,2011,3,204000000.0,4,3,8
345,0,2,7,0,25,3,1999,4,115800000.0,2,6,9
346,0,1,5,0,2,33,2002,6,672281953.0,10,0,21
347,0,1,4,0,15,2,2007,3,20000000.0,1,1,2
348,0,2,5,0,3,1,2013,11,180000000.0,2,2,5
349,0,1,6,0,8,6,1998,7,73200000.0,0,1,6
350,0,2,5,0,3,0,2003,5,40000000.0,0,2,3
351,0,2,5,0,3,1,2016,6,101000000.0,2,1,5
352,0,2,5,1,24,2,2014,6,140500000.0,1,5,5
353,0,2,6,0,3,0,1998,9,80000000.0,1,3,2
354,0,2,5,1,9,25,2010,11,217800000.0,3,1,11
355,0,1,7,0,2,1,2003,5,40000000.0,0,1,3
356,0,1,4,0,8,2,2012,9,177500000.0,2,1,5
357,1,2,5,1,9,11,1998,7,773214894.0,8,0,25
358,0,1,4,0,19,2,2004,12,142013590.0,4,20,5
359,0,2,4,1,1,6,2003,8,474481545.0,8,0,16
360,0,2,3,0,3,1,2015,1,332397060.0,3,4,9
361,0,2,6,0,25,5,2011,8,180000000.0,2,4,4
362,0,1,6,0,1,4,2003,12,560817814.0,16,22,31
363,0,2,5,1,3,8,2001,3,170844762.0,2,7,12
365,0,1,4,0,1,0,2016,6,58700000.0,2,1,4
366,0,2,4,1,3,5,2000,3,136117287.0,2,1,6
367,0,1,4,0,8,2,2011,8,70000000.0,2,18,2
368,0,1,4,0,8,1,2003,11,86000000.0,0,18,4
369,0,2,3,0,3,2,2011,1,220800000.0,3,2,4
370,0,2,6,1,3,0,1999,4,31800000.0,0,1,3
371,0,1,4,0,2,3,2004,12,288739310.0,7,7,9
372,0,2,3,0,15,0,2000,1,43201320.0,0,1,4
373,0,2,5,0,9,1,2004,5,30000000.0,0,3,2
374,0,2,3,0,3,1,2010,10,132000000.0,2,10,4
375,0,2,4,0,3,5,2004,8,331000000.0,2,4,9
376,1,2,5,0,5,5,2007,1,221000000.0,4,1,6
377,0,2,5,0,9,4,2008,3,415126582.0,7,4,19
378,0,1,5,0,1,4,2011,9,637200000.0,9,0,11
379,0,2,6,0,3,3,2005,3,70000000.0,1,9,2
380,0,1,4,0,4,0,2003,5,50000000.0,0,0,4
381,0,2,4,1,3,4,2006,1,171000000.0,4,1,5
382,0,1,4,0,8,0,2004,6,400000000.0,4,1,4
383,0,1,4,0,1,1,2003,5,152000000.0,1,0,4
385,0,2,3,0,3,1,2014,3,89000000.0,3,0,6
386,1,1,3,0,1,0,2004,6,315000000.0,4,4,7
387,0,2,5,0,3,1,2003,5,40000000.0,0,19,3
388,0,1,5,0,9,11,2004,9,513859650.0,13,2,13
389,0,2,6,1,15,1,2000,1,85470927.0,1,1,5
390,0,2,4,1,2,3,2006,2,601685795.0,10,0,26
391,0,2,5,0,3,3,2006,3,52000000.0,1,10,2
393,0,2,4,0,3,4,2015,4,252000000.0,5,9,10
394,0,2,4,0,3,4,2009,10,341000000.0,7,4,11
395,0,1,5,0,1,1,2008,1,140100000.0,0,1,13
396,0,2,6,0,3,1,2004,10,93000000.0,1,0,6
397,0,1,5,0,2,1,2014,6,336200000.0,6,1,9
398,0,2,5,0,8,7,2012,12,416478590.0,10,5,15
399,0,1,5,0,8,0,2016,6,268000000.0,7,1,10
400,0,2,4,0,3,5,2011,5,349164820.0,5,1,13
401,0,2,4,0,2,8,2008,2,729550514.0,11,4,34
403,0,2,5,0,2,7,2013,5,185000000.0,4,1,5
404,0,2,4,0,9,1,2006,12,90000000.0,2,1,3
405,0,2,5,1,9,2,2003,5,186200000.0,5,1,8
406,0,1,6,0,6,1,2005,1,18673030.0,2,8,3
407,0,2,5,0,3,0,2015,8,172500000.0,2,17,7
408,0,2,3,0,4,1,2008,1,74000000.0,3,17,4
409,0,2,4,0,1,2,2007,11,236851850.0,5,2,8
410,0,1,4,0,8,15,2013,1,642942220.0,12,1,16
411,0,2,5,0,3,3,2006,12,242985183.0,8,3,10
412,1,2,6,0,3,4,2008,9,325000000.0,6,1,9
413,1,2,5,0,3,1,2002,7,821500000.0,4,1,9
414,0,1,6,0,2,2,2016,6,122000000.0,3,2,3
415,0,2,5,0,3,0,2002,8,229403000.0,5,0,6
416,0,2,4,0,8,3,2009,5,190000000.0,2,0,8
417,0,2,5,0,3,2,2009,5,97558140.0,2,2,7
418,0,2,5,0,3,3,2006,6,105000000.0,3,1,7
419,0,2,3,0,2,0,2005,9,90000000.0,2,3,2
420,0,2,5,0,3,1,2009,11,84000000.0,3,16,4
421,0,2,4,0,3,4,2008,7,750528000.0,12,3,20
422,0,2,4,1,3,9,2006,6,160096300.0,5,2,7
423,0,1,5,0,1,2,2006,8,185000000.0,6,2,7
425,0,2,4,0,2,2,2007,3,75000000.0,0,5,7
427,1,2,5,1,3,4,2006,12,420403520.0,10,1,13
430,0,2,6,0,12,0,2016,6,30000000.0,0,4,1
431,0,2,3,0,18,1,2016,6,129000000.0,2,24,4
432,1,1,3,0,1,1,2005,9,310000000.0,1,0,12
433,0,1,4,0,2,1,2016,6,218400000.0,4,4,4
434,0,2,5,0,3,1,2006,10,56939700.0,3,13,3
435,0,2,6,0,2,3,2012,2,70000000.0,3,30,3
436,0,2,3,0,3,1,2014,12,159128155.0,5,12,6
437,0,2,4,1,3,3,2013,4,613000000.0,11,0,14
438,0,2,4,0,3,1,2011,11,76000000.0,1,2,3
439,0,2,6,0,2,3,2015,11,101667820.0,2,4,4
440,0,2,6,0,3,3,2006,10,120000000.0,2,12,5
441,1,2,5,0,18,9,2013,1,413071070.0,9,2,11
442,0,2,5,1,2,3,2016,1,721678172.0,16,1,18
443,0,2,4,0,3,0,2003,3,180000000.0,3,1,4
444,0,2,3,0,1,2,2011,12,100000000.0,1,6,1
445,0,2,4,0,1,11,2013,4,515709964.0,10,1,14
446,0,2,4,0,3,2,2015,8,29400000.0,1,2,3
447,0,2,4,0,3,0,2011,1,129000000.0,3,1,5
448,0,2,3,0,3,3,2014,4,299000000.0,5,7,9
449,0,2,4,1,9,2,2015,6,589284211.0,12,1,15
451,0,1,4,0,9,2,2011,12,135000000.0,3,1,4
452,0,1,4,0,8,0,2015,9,550338341.0,9,1,11
453,0,2,6,0,2,14,2014,9,274000000.0,6,12,9
454,0,2,4,0,3,0,2007,4,130000000.0,3,23,3
455,0,2,5,0,4,0,2008,2,40000000.0,1,1,1
456,0,2,4,0,3,4,2014,5,89000000.0,2,0,3
457,0,1,5,0,6,2,2007,8,50000000.0,1,26,1
458,1,2,6,0,2,0,2008,12,143000000.0,2,2,6
459,1,1,4,0,1,2,2010,9,185000000.0,4,0,6
460,0,1,5,0,8,0,2012,2,47000000.0,2,23,2
462,0,1,4,0,6,1,2010,6,305000000.0,4,0,5
463,0,1,4,0,2,0,2007,12,1075000000.0,1,1,4
464,0,1,4,0,6,5,2002,10,250000000.0,2,17,3
465,0,2,5,0,9,1,2016,1,159961631.0,7,17,7
466,0,2,5,0,3,14,2008,3,162000000.0,4,5,4
467,0,1,4,0,2,0,2008,5,216000000.0,4,0,4
468,0,1,5,0,8,2,2003,5,110000000.0,3,2,3
469,0,2,5,0,3,1,2014,8,120000000.0,4,9,4
470,1,2,5,1,9,50,2016,5,1281215720.0,22,8,49
471,0,2,5,0,3,2,2011,4,347000000.0,8,10,8
472,0,1,6,0,1,5,2008,12,99200270.0,5,25,6
473,0,1,3,0,23,5,2013,8,206420080.0,5,4,6
474,0,1,4,0,1,0,2002,7,158000000.0,2,6,3
475,0,2,5,0,3,2,2016,6,127000000.0,3,1,3
476,0,2,5,0,1,2,2016,6,137240000.0,5,1,8
477,0,1,4,0,1,0,2002,1,331593000.0,6,1,9
478,0,2,6,0,25,5,2003,5,150000000.0,2,7,5
479,0,2,4,1,19,8,2010,3,814364190.0,11,2,21
480,0,1,5,0,17,4,2016,5,90803225.0,2,2,2
481,0,2,3,0,3,1,2016,1,66000000.0,3,1,3
482,1,2,5,0,2,2,2012,8,196000000.0,6,3,8
483,0,2,5,0,2,5,2007,1,262485000.0,5,1,12
484,0,2,3,0,3,2,2012,8,335428542.0,7,1,8
