,INCB_DVSN,SIU_CUST_YN,SEX,AGE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH,MNTH_INCM_AMT_AVG,MAIN_INSR_AMT_SUM,SUM_ORIG_PREM_SUM,EXPR_SUM,CNTT_TERM_AVG,WORK_YEARS_MAX,WORK_YEARS_MIN,EXPR_COUNT
30,1,0,2,3,0,1,0,1,0,2003,6,2004,5,1566666.6666666667,85000000.0,171700.0,1,0.0,1,1,3
31,2,0,2,5,0,2,14,1,13,2003,6,2006,5,2062500.0,323452000.0,21891496.0,6,1.375,27,4,8
32,2,0,2,5,0,3,29,1,167,2003,6,2011,6,3103703.703703704,1220113927.0,8484401.0,25,1.2592592592592593,27,8,27
34,1,0,2,4,1,9,18,1,20,2000,7,2007,9,2180952.380952381,375341482.0,10986385.0,12,0.5714285714285714,8,1,21
35,1,0,1,5,0,9,0,1,2,2003,6,2014,9,3250000.0,89000000.0,482614.0,3,0.0,5,1,4
36,1,0,2,4,0,3,0,1,1,2004,6,2012,12,2883333.333333333,200794150.0,593727.0,4,3.6666666666666665,3,2,6
37,1,0,1,6,0,7,1,1,4,2003,6,2002,6,1344444.4444444445,160970927.0,1205660.0,2,0.0,7,2,9
39,1,0,2,5,1,3,6,1,5,1993,6,2005,3,1936363.6363636365,441042784.0,2288197.0,6,0.0909090909090909,21,0,11
40,2,0,1,5,0,8,5,1,10,2002,7,2011,7,3500000.0,116800000.0,1316614.0,2,1.75,23,3,4
41,2,1,2,5,0,8,2,1,1,2003,6,2009,1,1900000.0,112291740.0,2531655.0,3,0.2,30,20,5
43,1,1,2,5,0,9,1,1,3,2003,6,2006,10,2041666.6666666667,352490000.0,1104797.0,6,0.0833333333333333,9,5,12
44,1,0,1,5,0,6,3,1,1,2003,6,2003,5,3333333.333333333,79000000.0,673300.0,2,0.3333333333333333,8,8,3
45,1,0,1,5,0,7,3,1,1,2003,6,1999,1,1333333.3333333333,198994310.0,2050404.0,3,0.4166666666666667,14,0,12
46,1,0,2,6,0,25,16,1,9,2003,6,2004,12,2494444.4444444445,521951290.0,7617957.0,8,1.8888888888888888,11,1,18
47,1,0,1,6,0,1,4,1,6,2003,6,2000,1,1090909.0909090908,215201796.0,937800.0,0,0.0,2,2,11
48,2,0,2,5,0,1,1,1,6,2003,6,2008,12,2750000.0,192000000.0,908395.0,4,11.75,19,1,4
49,2,0,2,5,0,2,1,1,1,2008,7,2016,6,5000000.0,30000000.0,155052.0,1,4.0,19,19,1
50,1,0,2,5,1,9,1,1,1,1996,8,2014,9,2400000.0,124468520.0,3602951.0,4,0.0,18,11,5
51,1,1,2,4,0,3,6,1,4,2003,6,2014,5,2200000.0,162400000.0,10593520.0,3,1.75,15,2,4
52,1,0,2,4,0,18,0,1,1,2003,6,2003,5,3608333.3333333335,415000000.0,22310353.0,10,0.0,15,15,12
53,1,0,1,5,0,1,9,1,12,2000,12,2011,1,4083333.3333333335,346000000.0,2018100.0,6,2.0,10,1,6
54,1,0,2,5,0,3,0,1,0,2004,11,2016,6,1600000.0,160000000.0,321019.0,2,1.6666666666666667,13,2,3
55,2,0,1,5,1,2,15,1,102,1999,10,2006,10,4100000.0,1797991770.0,16400970.0,22,0.4583333333333333,13,1,24
56,1,0,2,5,1,2,26,1,20,1991,7,2009,4,1810000.0,578180239.0,53313630.0,8,3.1,23,1,20
57,1,0,1,5,0,1,31,1,35,2003,6,2016,4,5200000.0,905089384.0,7869156.0,9,2.8666666666666667,18,3,15
58,1,0,2,5,0,3,2,1,1,2003,6,2006,3,3000000.0,40000000.0,143680.0,1,3.0,13,13,1
59,2,0,2,5,0,20,7,1,5,2003,6,2008,6,1500000.0,30000000.0,547400.0,1,5.5,15,0,2
60,2,1,2,5,0,2,1,1,3,2003,6,2002,7,1000000.0,143618722.0,572900.0,1,0.0,21,0,10
61,2,1,2,5,0,3,6,1,7,2003,6,2012,9,3475000.0,156800000.0,1433973.0,7,1.5,21,21,8
62,2,0,1,4,0,1,1,1,2,2003,6,2007,5,4000000.0,546600000.0,4394677.0,7,0.7777777777777778,21,6,9
63,2,1,2,4,0,2,1,1,3,2003,6,2002,8,1307692.3076923075,335791825.0,777620.0,3,0.2307692307692307,21,5,13
64,2,0,2,5,0,2,6,1,14,2003,6,2016,3,8000000.0,640000000.0,1476233.0,5,2.2,16,16,5
65,2,0,2,5,0,2,12,1,42,2003,6,2006,7,15000000.0,465000000.0,5163016.0,6,1.5454545454545454,16,1,11
66,2,0,2,5,0,4,5,1,8,2003,6,2005,8,2190000.0,555200000.0,2640270.0,12,2.357142857142857,17,2,14
67,1,1,2,5,0,9,3,1,4,2002,1,1999,5,1909090.9090909087,232998070.0,2828292.0,6,0.3636363636363636,29,1,11
68,1,0,1,4,0,17,2,1,3,2003,6,2016,6,3833333.3333333335,300800000.0,1211841.0,5,0.3333333333333333,18,14,6
69,1,0,2,6,1,3,0,1,0,2005,8,2016,5,3000000.0,60000000.0,43170.0,0,0.0,3,3,2
72,2,0,1,6,0,12,2,1,2,2001,12,2011,12,2200000.0,195000000.0,700212.0,4,0.4,14,14,5
73,1,0,2,5,1,2,4,1,5,1998,4,2014,6,2531250.0,392081573.0,1849936.0,12,1.1875,20,0,16
74,2,0,1,7,0,25,0,1,0,2003,6,2016,6,1333333.3333333333,70000000.0,165200.0,0,0.0,26,21,3
75,2,0,2,4,0,3,0,1,2,2003,6,2004,5,2071428.5714285716,537324039.0,1392076.0,3,0.8571428571428571,17,3,7
77,2,0,1,3,0,10,2,1,3,2003,6,2006,3,2000000.0,162600460.0,2564950.0,4,0.8,17,4,5
78,1,0,2,4,0,2,0,1,1,2003,6,2015,5,2500000.0,206000000.0,518600.0,4,3.0,5,2,6
79,1,1,2,4,0,3,2,1,2,2005,12,2010,12,4333333.333333333,87000000.0,278286.0,1,1.0,1,1,3
80,1,0,2,4,1,3,2,1,3,2003,6,2015,12,4250000.0,295645161.0,858444.0,6,0.375,7,1,8
81,1,0,2,4,0,3,5,1,31,2003,6,2008,7,2375000.0,791607464.0,5445897.0,12,0.625,17,1,16
83,2,0,2,5,0,9,5,1,5,2003,6,2008,6,2545454.5454545454,247166620.0,4058560.0,5,0.2727272727272727,27,2,11
84,2,0,2,6,0,3,2,1,3,2003,6,2006,6,2000000.0,92734202.0,3018600.0,3,0.0,27,1,3
85,1,1,2,4,0,1,0,1,0,2005,12,2016,6,2000000.0,50000000.0,46150.0,0,1.0,1,1,1
86,1,0,2,5,0,24,1,1,2,2003,6,2008,11,1900000.0,47000000.0,209180.0,0,0.0,13,4,3
87,1,0,1,4,0,8,0,1,0,2003,6,2000,12,2175000.0,211051000.0,1266710.0,4,0.875,11,1,8
88,2,0,1,4,0,8,0,1,1,2003,6,2003,2,2981818.1818181816,267485464.0,1455460.0,9,1.3636363636363635,11,2,11
89,1,0,2,4,0,19,3,1,3,2006,9,2011,6,3000000.0,155000000.0,303307.0,2,8.333333333333334,6,6,3
90,1,0,2,4,0,3,2,1,2,2006,9,2015,8,2000000.0,72000000.0,294275.0,2,3.5,8,8,2
91,2,0,2,6,0,3,0,1,1,2003,6,2007,9,1500000.0,50000000.0,164200.0,0,0.0,22,4,2
92,1,0,1,5,0,2,8,1,13,2003,6,2002,3,1833333.3333333333,226000000.0,2509300.0,1,0.0,4,1,6
93,1,0,2,5,0,3,1,1,1,2003,6,2006,11,0.0,35000000.0,235350.0,0,0.0,14,1,4
95,1,0,2,4,0,3,1,1,7,2003,6,2010,1,1745454.5454545454,385357860.0,1800100.0,8,2.272727272727273,5,0,11
96,1,0,1,3,0,6,0,1,4,2003,7,2008,3,2750000.0,45000000.0,372700.0,2,3.0,5,5,2
98,1,0,2,4,0,3,0,1,1,2003,6,2007,5,750000.0,45000000.0,234050.0,1,2.0,4,1,4
99,1,0,2,5,0,3,0,1,2,2003,6,2005,7,1600000.0,175000000.0,342880.0,2,0.0,3,1,5
100,1,0,2,6,0,3,0,1,1,2003,6,2007,9,2000000.0,20000000.0,107800.0,1,1.0,2,2,1
101,1,0,1,6,0,12,0,1,2,2001,8,2013,2,960000.0,90000000.0,718520.0,1,1.0,4,1,5
102,1,0,2,4,0,1,8,1,9,2003,6,2003,4,2635000.0,296000000.0,1914970.0,8,0.4,11,2,10
104,1,0,2,6,0,25,3,1,10,2003,6,1999,8,2800000.0,154854635.0,1488879.0,3,0.0,40,28,5
105,1,0,2,3,0,2,0,1,0,2003,6,2008,11,1333333.3333333333,35000000.0,112400.0,0,0.0,28,5,3
106,1,1,2,3,0,3,0,1,1,2006,8,2007,8,1833333.3333333333,125000000.0,296270.0,2,0.3333333333333333,28,5,3
107,1,0,2,4,0,3,1,1,4,2003,6,2010,8,2500000.0,100000000.0,386800.0,2,0.5,1,1,2
108,1,0,2,6,0,2,6,1,8,2003,6,2003,7,2866666.6666666665,133028523.0,13189150.0,1,1.6666666666666667,10,1,6
110,1,0,2,4,0,19,3,1,5,2007,8,2007,9,3400000.0,130000000.0,20519238.0,5,1.2,4,4,5
111,1,0,2,4,0,15,0,1,4,2003,6,2008,7,1250000.0,80000000.0,453960.0,2,1.0,4,1,4
112,1,1,2,5,1,3,5,1,6,2002,1,2002,10,2928571.4285714286,1091016256.0,7841254.0,14,0.1428571428571428,19,1,21
113,1,0,1,4,0,2,1,1,1,2003,6,2016,6,2333333.333333333,30000000.0,202800.0,0,0.0,3,1,3
114,2,0,2,5,0,2,3,1,2,2003,6,2008,2,2300000.0,143114320.0,1254583.0,4,15.333333333333334,19,0,6
115,1,1,2,5,0,3,11,1,18,2003,6,2003,5,4000000.0,386900000.0,2728545.0,6,0.0,8,1,11
116,1,0,2,4,0,3,3,1,4,2003,6,2008,2,3085714.285714286,265000000.0,573150.0,4,0.2857142857142857,5,0,7
117,1,0,1,5,0,6,0,1,2,2003,6,2010,12,2500000.0,145000000.0,598416.0,3,0.0,10,5,4
118,2,0,2,4,0,3,2,1,22,2003,6,2011,8,2661538.461538461,697743176.0,3172684.0,7,5.0,28,1,13
119,2,0,2,6,0,2,6,1,7,2003,6,2009,7,3033333.333333333,291000000.0,1179271.0,6,2.7777777777777777,18,10,9
120,1,0,1,4,0,8,2,1,1,2003,6,2001,2,1900000.0,212307690.0,268030.0,0,4.0,8,3,5
121,1,0,2,5,0,3,33,1,42,2007,6,2016,4,4800000.0,751400000.0,95309668.0,12,2.7333333333333334,19,1,15
122,1,0,1,5,0,16,2,1,2,2008,9,2016,6,5000000.0,50000000.0,277816.0,1,0.0,5,5,1
123,1,0,2,5,0,15,6,1,6,2003,6,2004,6,3892857.142857143,540462969.0,9504196.0,9,1.5,26,0,14
124,1,0,2,6,0,3,1,1,1,2003,6,2003,5,1900000.0,52500000.0,2910850.0,0,0.0,26,26,5
125,2,0,2,5,0,2,5,1,4,2003,6,2015,1,2170000.0,376000000.0,881459.0,8,0.8,25,2,15
126,1,0,2,4,0,3,0,1,1,2003,6,2008,11,2700000.0,30000000.0,93574.0,1,1.0,1,1,1
127,2,0,2,5,0,2,7,1,4,2003,6,2009,3,2544444.4444444445,310000000.0,897633.0,4,0.4444444444444444,21,1,9
128,2,0,2,5,0,3,8,1,7,2002,6,2014,9,3571428.571428572,290000000.0,60681253.0,5,2.2857142857142856,20,0,7
129,1,0,1,4,1,9,1,1,4,2003,12,2012,5,1500000.0,220000000.0,690193.0,6,0.7142857142857143,5,5,7
130,1,0,1,4,0,16,1,1,0,2003,6,2016,6,2285714.285714286,134000000.0,11063318.0,5,1.0,10,1,7
131,1,1,2,6,1,24,0,1,1,1989,6,2009,7,1400000.0,127600000.0,524361.0,2,2.0,13,0,10
133,1,0,2,4,1,1,2,1,1,1999,2,1999,10,836363.6363636364,123062433.0,3356800.0,1,0.2727272727272727,3,0,11
134,1,0,2,3,0,3,0,1,3,2003,6,2004,11,1781250.0,276926130.0,813514.0,7,1.375,9,2,8
135,2,0,1,6,0,16,1,1,2,2003,6,2004,8,2555555.5555555555,278344960.0,14544183.0,7,0.0,21,0,9
136,2,0,2,5,0,3,7,1,13,2003,6,2008,9,1538461.5384615385,420000000.0,2645039.0,7,0.4615384615384615,9,1,13
137,2,0,2,6,0,3,1,1,2,2002,8,2016,6,4500000.0,137301038.0,663593.0,6,0.5555555555555556,16,1,9
138,2,0,2,6,1,9,20,1,17,1998,9,2002,3,1348717.9487179487,1693171671.0,9045544.0,19,0.8205128205128205,7,5,39
139,2,0,1,6,0,7,4,1,2,2003,6,2015,10,1500000.0,142000000.0,529700.0,2,0.0,20,20,2
140,1,1,2,4,1,3,12,1,12,2002,8,2003,4,2214285.714285714,494991815.0,1947939.0,7,0.4285714285714285,4,0,14
141,1,0,2,4,0,3,21,1,34,2003,6,2013,10,4522727.2727272725,902160480.0,4185285.0,18,0.8636363636363636,16,3,22
142,1,0,2,5,0,2,11,1,10,2003,6,2014,9,3077777.777777778,330000000.0,1373580.0,5,0.4444444444444444,9,3,9
143,2,0,2,4,0,3,18,1,11,2003,6,2007,10,2561111.111111111,658004931.0,12781170.0,8,0.6111111111111112,18,6,18
146,1,0,2,5,1,23,1,1,2,2003,6,2005,2,2383333.333333333,150000000.0,1899384.0,3,0.5,4,1,6
147,1,0,2,4,1,9,13,1,9,2001,10,2001,12,2975714.285714286,787309542.0,10873281.0,15,0.1714285714285714,10,2,35
148,2,1,1,6,0,2,1,1,5,2002,11,2004,6,321428.5714285714,440000000.0,715110.0,2,2.357142857142857,6,0,14
149,2,0,2,6,0,3,2,1,4,2004,6,2004,12,3083333.333333333,171000000.0,1115054.0,6,0.0,8,5,6
150,2,0,2,4,0,2,1,1,2,2002,10,2016,6,3300000.0,149000000.0,575257.0,5,0.8,7,7,5
151,1,0,1,4,0,10,2,1,2,2003,6,2012,1,2666666.6666666665,290000000.0,659347.0,4,0.6666666666666666,21,5,6
152,1,0,1,3,0,6,1,1,3,2004,12,2009,2,2083333.3333333333,204285714.0,487347.0,4,0.1666666666666666,3,1,6
153,2,0,2,3,0,3,0,1,4,2003,11,2013,1,2209523.8095238097,536845920.0,1549556.0,16,1.4761904761904765,31,0,21
154,2,0,2,5,0,3,9,1,14,2003,6,2014,1,1787500.0,424400000.0,1721149.0,4,0.625,7,1,8
155,2,0,2,6,0,3,2,1,4,2003,6,2013,9,3500000.0,40000000.0,369110.0,2,0.5,7,7,2
156,1,0,2,5,0,9,5,1,7,2003,6,2012,4,4300000.0,373200000.0,1510629.0,9,0.9,19,1,10
157,1,0,1,4,0,15,15,1,91,2003,6,2011,12,9676056.338028168,4094142344.0,25728699.0,60,0.4366197183098591,32,0,71
158,1,0,2,5,0,9,4,1,3,2003,3,2013,6,1550000.0,224000000.0,527108.0,5,0.6666666666666666,16,0,6
159,2,0,2,5,0,3,1,1,1,2004,8,2004,8,1666666.6666666667,35891271.0,18057780.0,1,3.6666666666666665,14,6,3
160,2,0,2,5,0,3,2,1,20,2012,3,2016,1,4250000.0,209138943.0,915721.0,4,0.25,6,6,4
161,1,0,2,5,1,9,0,1,4,2003,6,2013,12,1272727.2727272727,111900000.0,988060.0,4,1.0909090909090908,9,1,11
162,2,1,2,4,0,3,2,1,2,2003,6,2006,12,2833333.333333333,161433780.0,721740.0,5,0.6666666666666666,11,4,6
163,1,0,2,6,0,9,3,1,6,2003,6,2014,11,1380000.0,271400000.0,983191.0,7,1.4,23,0,10
164,1,0,2,5,0,3,3,1,3,2003,6,2014,10,1590909.0909090908,232200000.0,773271.0,5,0.9090909090909092,18,1,11
165,2,0,1,4,0,1,8,1,12,2003,6,2015,12,3554545.4545454546,658270840.0,5590463.0,17,0.3636363636363636,19,1,22
166,2,0,2,6,0,3,3,1,3,2003,6,2014,10,3777777.777777778,277920880.0,10257502.0,9,0.2222222222222222,11,1,9
167,2,0,2,4,0,8,6,1,8,2003,6,2007,8,1363636.3636363635,394973610.0,2028846.0,7,0.0,15,3,11
168,2,0,2,5,0,3,0,1,1,2003,6,2002,6,1888888.888888889,385000000.0,633824.0,3,0.0,15,1,9
169,1,0,2,4,1,9,10,1,13,2001,10,2003,11,2450000.0,865189833.0,4842100.0,18,0.2777777777777778,7,3,36
170,1,0,2,6,0,2,1,1,0,2002,9,2009,9,0.0,87000000.0,241930.0,0,1.0,13,1,8
171,1,0,2,4,0,18,42,1,126,2003,6,2015,2,9388888.888888888,3012719080.0,18373167.0,29,2.333333333333333,18,2,36
172,1,0,1,4,0,8,2,1,2,2003,6,2009,1,1907500.0,241476322.0,5059521.0,6,2.75,5,1,8
173,1,0,2,5,0,8,3,1,3,2003,6,2003,8,1800000.0,356939230.0,1144868.0,7,1.2,13,4,10
174,1,0,1,3,0,1,3,1,2,2003,6,2006,2,857142.8571428572,195687023.0,524200.0,3,1.5714285714285714,12,12,7
175,1,0,1,5,0,2,5,1,12,2003,6,2009,11,5000000.0,110000000.0,1269900.0,2,0.0,8,3,2
176,1,1,1,4,0,1,3,1,7,2003,6,2008,2,4640000.0,192000000.0,1309724.0,5,0.0,19,3,5
177,2,0,2,5,0,3,5,1,4,2003,6,2013,10,1712500.0,286366247.0,20959946.0,8,0.5625,22,5,16
178,2,0,2,5,0,2,10,1,16,2003,6,2015,11,2845454.5454545454,530089420.0,2477975.0,7,0.2727272727272727,22,1,11
179,2,0,2,5,0,19,2,1,2,2003,6,2001,1,1488888.888888889,165600000.0,807921.0,1,0.7777777777777778,22,1,9
180,1,0,1,5,0,2,1,1,0,2003,6,2007,3,100000.0,70000000.0,238450.0,1,0.0,14,14,2
181,1,0,2,5,0,3,6,1,4,2003,6,2016,6,5440000.0,178896797.0,710007.0,3,1.0,13,1,5
182,1,1,2,5,1,3,5,1,3,1986,7,2008,11,1214285.7142857143,222000000.0,670178.0,3,1.2857142857142858,13,0,7
183,1,0,2,5,0,3,1,1,2,1999,4,2004,1,300000.0,50000000.0,148600.0,1,0.0,1,1,1
184,1,0,1,4,0,8,1,1,2,2003,6,2004,1,2216666.6666666665,400000000.0,1020726.0,5,0.5,19,2,6
185,1,1,2,5,1,3,5,1,3,1994,8,2011,1,6390909.090909091,401169010.0,1468680.0,10,0.7272727272727273,20,1,11
186,1,0,1,5,0,2,2,1,3,2003,6,2016,6,1800000.0,140000000.0,497616.0,3,5.4,17,17,5
187,1,0,1,6,0,7,1,1,1,2003,6,2003,5,1000000.0,10000000.0,153200.0,0,0.0,17,17,1
188,1,0,2,6,0,3,0,1,3,2003,6,2016,6,2000000.0,106645460.0,2699155.0,4,0.0,18,1,6
189,1,0,2,4,0,3,2,1,2,2003,6,2006,1,500000.0,135866300.0,651140.0,5,1.0,14,1,6
190,1,0,2,4,0,3,2,1,3,2004,3,2008,11,2230000.0,171000000.0,487641.0,3,1.4,14,1,5
191,1,0,1,7,0,7,3,1,3,2003,6,2011,9,1519230.7692307692,177823868.0,1856066.0,5,0.1538461538461538,7,0,13
192,1,0,2,5,0,3,1,1,1,2003,6,2004,3,2060000.0,162476874.0,284768.0,2,2.2,16,4,5
193,1,1,2,6,0,3,5,1,13,2002,8,2008,7,3046666.6666666665,537200000.0,3239867.0,11,0.4666666666666667,21,1,15
194,1,0,1,4,0,2,3,1,5,2003,6,2013,11,2714705.882352941,680559570.0,2360977.0,12,0.3529411764705882,14,1,17
195,1,0,2,6,0,2,0,1,0,2003,6,2004,6,2500000.0,10000000.0,79800.0,0,0.0,5,5,1
196,1,1,2,4,1,1,4,1,16,2003,6,2013,8,3928571.4285714286,1397773230.0,9841235.0,15,2.628571428571429,18,1,35
197,2,0,2,5,1,3,13,1,14,1987,8,2013,3,3964705.882352941,714609135.0,28565906.0,13,0.6470588235294118,21,1,17
198,2,0,1,4,0,8,4,1,1,2003,6,2004,7,2183333.333333333,164400000.0,1348288.0,4,0.8333333333333334,21,0,6
199,2,0,2,4,0,3,2,1,6,2006,1,2009,10,3136363.636363636,316000000.0,1041715.0,9,1.3636363636363635,21,21,11
200,1,0,1,5,0,2,2,1,2,2003,6,2001,5,2300000.0,145000000.0,628640.0,3,2.0,8,1,5
201,1,0,1,4,0,8,3,1,2,2003,6,2013,4,2825000.0,85004790.0,1363691.0,3,0.0,14,2,4
202,2,0,1,4,0,4,14,1,15,2003,6,2009,5,3542857.1428571427,230000000.0,1942103.0,7,2.7142857142857144,14,1,7
203,2,0,2,4,0,3,3,1,4,2003,6,2014,2,714285.7142857143,152500000.0,819486.0,4,1.5714285714285714,22,4,7
204,1,0,2,5,0,2,2,1,2,2003,6,2016,6,3750000.0,111000000.0,761020.0,3,0.25,11,3,4
205,1,0,2,3,0,3,1,1,1,2003,6,2015,5,3200000.0,295000000.0,693170.0,3,1.6,9,5,5
206,1,0,1,5,0,1,0,1,0,2003,6,2002,7,3666666.6666666665,110000000.0,6596245.0,1,4.0,5,1,3
207,1,0,1,4,0,10,1,1,1,2003,6,2012,8,1775000.0,124359714.0,9095779.0,3,0.5,10,0,4
208,1,0,1,6,0,6,6,1,7,2003,6,2007,4,2875000.0,120000000.0,619330.0,2,1.75,7,2,4
210,2,0,1,5,0,8,3,1,4,2003,3,2010,6,2500000.0,154000000.0,545713.0,4,1.5,13,13,4
211,2,0,2,6,0,3,9,1,8,2003,6,2007,3,1785714.2857142857,240285166.0,75557879.0,4,0.8571428571428571,14,1,7
212,2,0,2,5,0,19,7,1,4,2003,6,2008,2,1000000.0,185200000.0,998882.0,2,0.0,22,2,8
214,2,0,2,4,0,3,0,1,1,2004,1,2010,9,3757142.857142857,130614082.0,3658619.0,5,0.1428571428571428,27,13,7
215,1,0,2,3,0,24,2,1,4,2004,2,2015,10,3550000.0,215000000.0,659274.0,4,2.2,12,2,10
216,2,0,1,5,0,2,2,1,2,2003,6,2016,6,2000000.0,80000000.0,621929.0,2,0.25,19,3,4
217,2,0,2,5,0,2,2,1,4,2001,11,2006,3,2450000.0,279981950.0,2965450.0,7,0.4,19,0,10
218,1,0,1,5,0,8,3,1,3,2003,6,2001,3,5152631.578947368,1011603670.0,21945911.0,12,1.0,7,1,19
219,1,1,2,4,0,2,1,1,0,2001,3,2005,9,5000000.0,50000000.0,88700.0,1,0.0,4,4,1
221,2,0,2,5,0,2,14,1,43,2003,6,2011,4,3780000.0,1288939284.0,9436850.0,29,0.5666666666666667,12,1,30
222,1,0,2,5,0,4,10,1,12,2003,6,2011,4,3169230.769230769,232000000.0,10212249.0,4,1.1538461538461535,19,2,13
223,1,0,2,4,0,3,3,1,4,2003,6,2005,11,1775000.0,272000000.0,794780.0,4,0.8333333333333334,22,1,6
225,2,0,2,4,0,3,0,1,1,2003,6,2003,5,928571.4285714284,119101350.0,1004310.0,2,8.285714285714286,22,2,7
226,1,0,1,6,0,6,0,1,0,2005,4,2016,6,2500000.0,40000000.0,74915.0,0,11.0,5,5,2
227,1,0,1,5,0,8,6,1,2,2003,6,2007,10,1516666.6666666667,108371990.0,1959350.0,3,0.1666666666666666,7,6,6
228,1,0,1,6,0,2,1,1,1,2003,6,2015,5,2000000.0,100000000.0,438040.0,1,1.0,10,1,4
230,2,0,1,5,0,1,2,1,2,2003,6,2008,1,3025000.0,62562660.0,4733732.0,3,0.0,32,6,4
231,1,0,1,6,0,8,7,1,7,2003,6,2008,11,3187500.0,212500000.0,925636.0,5,1.5,14,2,8
232,2,0,2,6,0,2,1,1,1,2003,6,2016,6,1066666.6666666667,123000000.0,483970.0,3,2.0,36,36,3
233,1,0,2,4,0,3,2,1,10,2003,6,2009,1,2000000.0,172151515.0,1099798.0,3,1.0,14,1,7
235,1,0,1,5,0,1,1,1,0,2003,6,2016,6,0.0,10000000.0,96600.0,0,0.0,0,0,2
236,1,0,2,3,0,21,0,1,0,2006,3,2006,3,2000000.0,30000000.0,87240.0,1,0.0,4,4,1
238,2,0,2,5,0,3,8,1,11,2003,6,2014,10,5333333.333333333,312503430.0,2568135.0,9,2.0,21,21,12
239,1,0,2,5,1,9,1,1,4,2003,6,2005,5,3166666.6666666665,252000000.0,891979.0,6,0.0,16,1,9
