CLLT_FP_PRNO,INCB_DVSN,CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH,MNTH_INCM_AMT_AVG,MAIN_INSR_AMT_SUM,SUM_ORIG_PREM_SUM,EXPR_SUM,CNTT_TERM_AVG,WORK_YEARS_MAX,WORK_YEARS_MIN,EXPR_COUNT
10564,P,3320,1,N,1,4,N,8,0,Y,1,2003,6,2003,2,2981818.1818181816,267485464.0,1455460.0,9,1.3636363636363635,11,2,11
11315,R,6446,1,N,2,4,N,19,3,Y,3,2006,9,2011,6,3000000.0,155000000.0,303307.0,2,8.333333333333334,6,6,3
11247,R,8638,1,N,2,4,N,3,2,Y,2,2006,9,2015,8,2000000.0,72000000.0,294275.0,2,3.5,8,8,2
24305,P,4866,1,N,2,6,N,3,0,Y,1,2003,6,2007,9,1500000.0,50000000.0,164200.0,0,0.0,22,4,2
10964,R,13895,1,N,1,5,N,2,8,Y,13,2003,6,2002,3,1833333.3333333333,226000000.0,2509300.0,1,0.0,4,1,6
10964,R,14141,1,N,2,5,N,3,1,Y,1,2003,6,2006,11,0.0,35000000.0,235350.0,0,0.0,14,1,4
11500,R,8253,2,,1,5,Y,9,0,Y,1,1,1,2007,2,3666666.6666666665,43400000.0,127450.0,0,0.3333333333333333,1,1,3
11540,R,3297,1,N,2,4,N,3,1,Y,7,2003,6,2010,1,1745454.5454545454,385357860.0,1800100.0,8,2.272727272727273,5,0,11
11540,R,21805,1,N,1,3,N,6,0,Y,4,2003,7,2008,3,2750000.0,45000000.0,372700.0,2,3.0,5,5,2
10927,R,12086,2,,2,4,N,3,0,Y,0,2003,6,2016,6,0.0,6000000.0,55900.0,0,0.0,4,4,1
11211,R,14493,1,N,2,4,N,3,0,Y,1,2003,6,2007,5,750000.0,45000000.0,234050.0,1,2.0,4,1,4
11211,R,20940,1,N,2,5,N,3,0,Y,2,2003,6,2005,7,1600000.0,175000000.0,342880.0,2,0.0,3,1,5
11695,R,16058,1,N,2,6,N,3,0,Y,1,2003,6,2007,9,2000000.0,20000000.0,107800.0,1,1.0,2,2,1
10869,R,11217,1,N,1,6,N,12,0,Y,2,2001,8,2013,2,960000.0,90000000.0,718520.0,1,1.0,4,1,5
11675,R,7600,1,N,2,4,N,1,8,Y,9,2003,6,2003,4,2635000.0,296000000.0,1914970.0,8,0.4,11,2,10
10624,R,17561,2,,2,5,N,13,28,Y,28,2006,4,2013,12,13250000.0,394800000.0,2880145.0,6,0.875,14,5,8
20602,R,4913,1,N,2,6,N,25,3,Y,10,2003,6,1999,8,2800000.0,154854635.0,1488879.0,3,0.0,40,28,5
20602,R,7870,1,N,2,3,N,2,0,Y,0,2003,6,2008,11,1333333.3333333333,35000000.0,112400.0,0,0.0,28,5,3
20602,R,19807,1,Y,2,3,N,3,0,Y,1,2006,8,2007,8,1833333.3333333333,125000000.0,296270.0,2,0.3333333333333333,28,5,3
12190,R,7680,1,N,2,4,N,3,1,Y,4,2003,6,2010,8,2500000.0,100000000.0,386800.0,2,0.5,1,1,2
11823,R,18393,1,N,2,6,N,2,6,Y,8,2003,6,2003,7,2866666.6666666665,133028523.0,13189150.0,1,1.6666666666666667,10,1,6
9922,P,16338,2,,2,5,N,3,12,Y,20,2003,6,2010,10,7250000.0,663076920.0,2521216.0,8,3.125,12,1,8
7730,R,6500,1,N,2,4,N,19,3,Y,5,2007,8,2007,9,3400000.0,130000000.0,20519238.0,5,1.2,4,4,5
7730,R,12266,1,N,2,4,N,15,0,Y,4,2003,6,2008,7,1250000.0,80000000.0,453960.0,2,1.0,4,1,4
12758,R,13436,1,Y,2,5,Y,3,5,Y,6,2002,1,2002,10,2928571.4285714286,1091016256.0,7841254.0,14,0.14285714285714285,19,1,21
11291,R,18970,1,N,1,4,N,2,1,Y,1,2003,6,2016,6,2333333.3333333335,30000000.0,202800.0,0,0.0,3,1,3
27722,P,7523,1,N,2,5,N,2,3,Y,2,2003,6,2008,2,2300000.0,143114320.0,1254583.0,4,15.333333333333334,19,0,6
13230,R,531,1,Y,2,5,N,3,11,Y,18,2003,6,2003,5,4000000.0,386900000.0,2728545.0,6,0.0,8,1,11
13230,R,1061,1,N,2,4,N,3,3,Y,4,2003,6,2008,2,3085714.285714286,265000000.0,573150.0,4,0.2857142857142857,5,0,7
13230,R,2875,1,N,1,5,N,6,0,Y,2,2003,6,2010,12,2500000.0,145000000.0,598416.0,3,0.0,10,5,4
21301,P,5540,1,N,2,4,N,3,2,Y,22,2003,6,2011,8,2661538.4615384615,697743176.0,3172684.0,7,5.0,28,1,13
11795,P,2685,1,N,2,6,N,2,6,Y,7,2003,6,2009,7,3033333.3333333335,291000000.0,1179271.0,6,2.7777777777777777,18,10,9
13423,R,9869,1,N,1,4,N,8,2,Y,1,2003,6,2001,2,1900000.0,212307690.0,268030.0,0,4.0,8,3,5
12643,R,17656,1,N,2,5,N,3,33,Y,42,2007,6,2016,4,4800000.0,751400000.0,95309668.0,12,2.7333333333333334,19,1,15
14019,R,10925,1,N,1,5,N,16,2,Y,2,2008,9,2016,6,5000000.0,50000000.0,277816.0,1,0.0,5,5,1
21577,R,583,1,N,2,5,N,15,6,Y,6,2003,6,2004,6,3892857.1428571427,540462969.0,9504196.0,9,1.5,26,0,14
21577,R,13770,1,N,2,6,N,3,1,Y,1,2003,6,2003,5,1900000.0,52500000.0,2910850.0,0,0.0,26,26,5
8790,P,14056,1,N,2,5,N,2,5,Y,4,2003,6,2015,1,2170000.0,376000000.0,881459.0,8,0.8,25,2,15
14269,R,1066,1,N,2,4,N,3,0,Y,1,2003,6,2008,11,2700000.0,30000000.0,93574.0,1,1.0,1,1,1
25027,P,9696,1,N,2,5,N,2,7,Y,4,2003,6,2009,3,2544444.4444444445,310000000.0,897633.0,4,0.4444444444444444,21,1,9
26127,P,20225,1,N,2,5,N,3,8,Y,7,2002,6,2014,9,3571428.5714285714,290000000.0,60681253.0,5,2.2857142857142856,20,0,7
14400,R,8395,1,N,1,4,Y,9,1,Y,4,2003,12,2012,5,1500000.0,220000000.0,690193.0,6,0.7142857142857143,5,5,7
14748,R,3319,1,N,1,4,N,16,1,Y,0,2003,6,2016,6,2285714.285714286,134000000.0,11063318.0,5,1.0,10,1,7
15176,R,15719,1,Y,2,6,Y,24,0,Y,1,1989,6,2009,7,1400000.0,127600000.0,524361.0,2,2.0,13,0,10
14752,R,5264,2,,1,5,N,15,0,Y,3,2003,6,2008,11,2375000.0,326000000.0,783300.0,4,0.75,14,0,8
14575,R,144,1,N,2,4,Y,1,2,Y,1,1999,2,1999,10,836363.6363636364,123062433.0,3356800.0,1,0.2727272727272727,3,0,11
11938,R,5792,1,N,2,3,N,3,0,Y,3,2003,6,2004,11,1781250.0,276926130.0,813514.0,7,1.375,9,2,8
25358,P,7201,1,N,1,6,N,16,1,Y,2,2003,6,2004,8,2555555.5555555555,278344960.0,14544183.0,7,0.0,21,0,9
15517,P,663,1,N,2,5,N,3,7,Y,13,2003,6,2008,9,1538461.5384615385,420000000.0,2645039.0,7,0.46153846153846156,9,1,13
3472,P,6018,1,N,2,6,N,3,1,Y,2,2002,8,2016,6,4500000.0,137301038.0,663593.0,6,0.5555555555555556,16,1,9
16043,P,96,1,N,2,6,Y,9,20,Y,17,1998,9,2002,3,1348717.9487179487,1693171671.0,9045544.0,19,0.8205128205128205,7,5,39
26228,P,18389,1,N,1,6,N,7,4,Y,2,2003,6,2015,10,1500000.0,142000000.0,529700.0,2,0.0,20,20,2
16185,R,18024,1,Y,2,4,Y,3,12,Y,12,2002,8,2003,4,2214285.714285714,494991815.0,1947939.0,7,0.42857142857142855,4,0,14
14744,R,16568,1,N,2,4,N,3,21,Y,34,2003,6,2013,10,4522727.2727272725,902160480.0,4185285.0,18,0.8636363636363636,16,3,22
14136,R,18711,1,N,2,5,N,2,11,Y,10,2003,6,2014,9,3077777.777777778,330000000.0,1373580.0,5,0.4444444444444444,9,3,9
17444,P,3192,1,N,2,4,N,3,18,Y,11,2003,6,2007,10,2561111.111111111,658004931.0,12781170.0,8,0.6111111111111112,18,6,18
16039,P,14121,2,,1,5,N,1,3,Y,12,2003,6,2013,4,7726666.666666667,802000000.0,2954539.0,10,0.8,7,1,15
17393,R,18466,2,,2,5,N,3,14,Y,114,2003,6,2007,7,12923076.923076924,774600000.0,6349649.0,8,0.46153846153846156,14,2,13
16915,R,7457,1,N,2,5,Y,23,1,Y,2,2003,6,2005,2,2383333.3333333335,150000000.0,1899384.0,3,0.5,4,1,6
16695,R,15657,1,N,2,4,Y,9,13,Y,9,2001,10,2001,12,2975714.285714286,787309542.0,10873281.0,15,0.17142857142857143,10,2,35
17669,P,2387,1,Y,1,6,N,2,1,Y,5,2002,11,2004,6,321428.5714285714,440000000.0,715110.0,2,2.357142857142857,6,0,14
15683,P,19652,1,N,2,6,N,3,2,Y,4,2004,6,2004,12,3083333.3333333335,171000000.0,1115054.0,6,0.0,8,5,6
16543,P,9913,1,N,2,4,N,2,1,Y,2,2002,10,2016,6,3300000.0,149000000.0,575257.0,5,0.8,7,7,5
16204,R,16751,1,N,1,4,N,10,2,Y,2,2003,6,2012,1,2666666.6666666665,290000000.0,659347.0,4,0.6666666666666666,21,5,6
17661,R,21932,1,N,1,3,N,6,1,Y,3,2004,12,2009,2,2083333.3333333333,204285714.0,487347.0,4,0.16666666666666666,3,1,6
14465,P,3937,1,N,2,3,N,3,0,Y,4,2003,11,2013,1,2209523.8095238097,536845920.0,1549556.0,16,1.4761904761904763,31,0,21
16035,P,11911,1,N,2,5,N,3,9,Y,14,2003,6,2014,1,1787500.0,424400000.0,1721149.0,4,0.625,7,1,8
17031,P,18350,1,N,2,6,N,3,2,Y,4,2003,6,2013,9,3500000.0,40000000.0,369110.0,2,0.5,7,7,2
18942,R,18442,1,N,2,5,N,9,5,Y,7,2003,6,2012,4,4300000.0,373200000.0,1510629.0,9,0.9,19,1,10
18194,R,16615,1,N,1,4,N,15,15,Y,91,2003,6,2011,12,9676056.338028168,4094142344.0,25728699.0,60,0.43661971830985913,32,0,71
19129,R,20663,1,N,2,5,N,9,4,Y,3,2003,3,2013,6,1550000.0,224000000.0,527108.0,5,0.6666666666666666,16,0,6
17907,P,1770,1,N,2,5,N,3,1,Y,1,2004,8,2004,8,1666666.6666666667,35891271.0,18057780.0,1,3.6666666666666665,14,6,3
17907,P,6694,1,N,2,5,N,3,2,Y,20,2012,3,2016,1,4250000.0,209138943.0,915721.0,4,0.25,6,6,4
19155,R,16281,1,N,2,5,Y,9,0,Y,4,2003,6,2013,12,1272727.2727272727,111900000.0,988060.0,4,1.0909090909090908,9,1,11
10431,P,14435,1,Y,2,4,N,3,2,Y,2,2003,6,2006,12,2833333.3333333335,161433780.0,721740.0,5,0.6666666666666666,11,4,6
3054,R,2559,1,N,2,6,N,9,3,Y,6,2003,6,2014,11,1380000.0,271400000.0,983191.0,7,1.4,23,0,10
19670,R,852,1,N,2,5,N,3,3,Y,3,2003,6,2014,10,1590909.0909090908,232200000.0,773271.0,5,0.9090909090909091,18,1,11
19947,P,21069,1,N,1,4,N,1,8,Y,12,2003,6,2015,12,3554545.4545454546,658270840.0,5590463.0,17,0.36363636363636365,19,1,22
11374,P,16040,1,N,2,6,N,3,3,Y,3,2003,6,2014,10,3777777.777777778,277920880.0,10257502.0,9,0.2222222222222222,11,1,9
20015,P,18982,1,N,2,4,N,8,6,Y,8,2003,6,2007,8,1363636.3636363635,394973610.0,2028846.0,7,0.0,15,3,11
19589,P,5206,1,N,2,5,N,3,0,Y,1,2003,6,2002,6,1888888.888888889,385000000.0,633824.0,3,0.0,15,1,9
1077,R,20198,1,N,2,4,Y,9,10,Y,13,2001,10,2003,11,2450000.0,865189833.0,4842100.0,18,0.2777777777777778,7,3,36
5647,R,100,1,N,2,6,N,2,1,Y,0,2002,9,2009,9,0.0,87000000.0,241930.0,0,1.0,13,1,8
6230,R,16663,1,N,2,4,N,18,42,Y,126,2003,6,2015,2,9388888.888888888,3012719080.0,18373167.0,29,2.3333333333333335,18,2,36
6230,R,18999,1,N,1,4,N,8,2,Y,2,2003,6,2009,1,1907500.0,241476322.0,5059521.0,6,2.75,5,1,8
23533,R,7282,1,N,2,5,N,8,3,Y,3,2003,6,2003,8,1800000.0,356939230.0,1144868.0,7,1.2,13,4,10
3942,R,1213,1,N,1,3,N,1,3,Y,2,2003,6,2006,2,857142.8571428572,195687023.0,524200.0,3,1.5714285714285714,12,12,7
4825,R,18596,1,N,1,5,N,2,5,Y,12,2003,6,2009,11,5000000.0,110000000.0,1269900.0,2,0.0,8,3,2
5603,R,7782,1,Y,1,4,N,1,3,Y,7,2003,6,2008,2,4640000.0,192000000.0,1309724.0,5,0.0,19,3,5
24378,P,3006,1,N,2,5,N,3,5,Y,4,2003,6,2013,10,1712500.0,286366247.0,20959946.0,8,0.5625,22,5,16
24378,P,5051,1,N,2,5,N,2,10,Y,16,2003,6,2015,11,2845454.5454545454,530089420.0,2477975.0,7,0.2727272727272727,22,1,11
24378,P,9632,1,N,2,5,N,19,2,Y,2,2003,6,2001,1,1488888.888888889,165600000.0,807921.0,1,0.7777777777777778,22,1,9
24888,R,5155,1,N,1,5,N,2,1,Y,0,2003,6,2007,3,100000.0,70000000.0,238450.0,1,0.0,14,14,2
2527,R,834,1,N,2,5,N,3,6,Y,4,2003,6,2016,6,5440000.0,178896797.0,710007.0,3,1.0,13,1,5
2527,R,6869,1,Y,2,5,Y,3,5,Y,3,1986,7,2008,11,1214285.7142857143,222000000.0,670178.0,3,1.2857142857142858,13,0,7
7033,R,8237,1,N,2,5,N,3,1,Y,2,1999,4,2004,1,300000.0,50000000.0,148600.0,1,0.0,1,1,1
6773,R,21282,1,N,1,4,N,8,1,Y,2,2003,6,2004,1,2216666.6666666665,400000000.0,1020726.0,5,0.5,19,2,6
6495,R,13497,1,Y,2,5,Y,3,5,Y,3,1994,8,2011,1,6390909.090909091,401169010.0,1468680.0,10,0.7272727272727273,20,1,11
28927,R,16190,1,N,1,5,N,2,2,Y,3,2003,6,2016,6,1800000.0,140000000.0,497616.0,3,5.4,17,17,5
28927,R,20530,1,N,1,6,N,7,1,Y,1,2003,6,2003,5,1000000.0,10000000.0,153200.0,0,0.0,17,17,1
7120,R,9316,1,N,2,6,N,3,0,Y,3,2003,6,2016,6,2000000.0,106645460.0,2699155.0,4,0.0,18,1,6
6799,R,14239,1,N,2,4,N,3,2,Y,2,2003,6,2006,1,500000.0,135866300.0,651140.0,5,1.0,14,1,6
6799,R,19632,1,N,2,4,N,3,2,Y,3,2004,3,2008,11,2230000.0,171000000.0,487641.0,3,1.4,14,1,5
5072,R,9177,1,N,1,7,N,7,3,Y,3,2003,6,2011,9,1519230.7692307692,177823868.0,1856066.0,5,0.15384615384615385,7,0,13
31396,R,2967,1,N,2,5,N,3,1,Y,1,2003,6,2004,3,2060000.0,162476874.0,284768.0,2,2.2,16,4,5
