INDEX,CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MATE_OCCP_GRP,CHLD_CNT,LTBN_CHLD_AGE,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH
49,52,1,N,1,5,26944,20,N,8,0,Y,3,2,24,0,2001,10,1998,7
53,56,1,Y,2,5,7271,11,N,2,13,Y,2,0,0,12,2001,11,2015,5
59,62,1,N,1,4,19444,20,N,1,2,Y,2,2,15,2,2002,1,2002,7
60,63,1,Y,2,5,12326,12,Y,9,3,Y,1,4,26,2,2002,1,2002,8
61,64,1,N,2,6,50972,20,N,2,13,Y,2,1,33,15,2002,3,2014,6
62,65,2,,1,4,1603,13,N,6,0,Y,3,3,13,0,2002,3,2003,5
63,66,1,Y,2,4,13333,20,N,9,1,Y,13,3,18,3,2002,3,2002,8
65,68,1,N,2,4,30000,20,N,8,10,Y,1,2,17,15,2002,5,2003,6
66,69,1,N,2,5,6291,12,N,2,11,Y,8,2,27,31,2002,5,2011,7
67,70,1,N,1,6,3638,11,N,2,8,Y,9,3,23,6,2002,6,2003,5
69,72,1,N,2,6,8055,20,N,3,2,Y,9,0,0,2,2002,7,2008,7
70,73,2,,2,4,6250,30,N,9,9,Y,8,2,22,7,2002,7,2010,2
71,74,1,N,2,4,9305,20,N,3,1,Y,1,1,17,0,2002,8,2003,5
72,75,1,N,2,5,7092,12,N,2,3,Y,6,0,0,2,2002,8,2011,3
73,76,1,N,1,5,9861,30,N,9,2,Y,3,3,21,5,2002,8,1999,9
75,78,1,N,2,5,8611,20,N,1,2,Y,1,2,22,3,2002,9,2009,6
76,79,1,Y,2,5,11409,99,N,3,1,Y,4,2,30,1,2002,9,2010,11
77,80,1,N,2,6,4722,30,N,25,2,Y,6,0,0,2,2002,10,2006,3
78,81,1,N,2,5,10277,20,N,3,1,Y,2,1,18,1,2002,10,2005,1
80,83,1,N,2,6,0,11,N,12,11,Y,25,0,0,10,2002,10,2011,3
82,85,1,N,2,5,28888,20,Y,3,2,Y,15,2,29,4,2002,11,2000,6
84,87,1,N,2,5,8601,11,N,9,5,Y,7,0,0,9,2002,11,2012,10
86,89,1,N,2,6,7338,12,Y,1,1,Y,8,0,0,0,1997,3,2003,7
88,91,1,N,2,6,21250,30,Y,3,2,Y,1,0,0,0,1992,5,2000,9
90,93,1,N,2,6,7777,20,Y,9,3,Y,1,1,35,12,1999,9,2000,8
92,95,1,N,2,6,6666,20,Y,25,2,Y,10,0,0,5,1983,4,2013,9
93,96,1,N,2,6,8611,20,Y,9,20,Y,8,1,26,17,1998,9,2002,3
96,100,1,N,2,6,4081,13,N,2,1,Y,2,0,0,0,2002,9,2009,9
98,102,1,N,2,6,8750,20,Y,25,17,Y,8,0,0,14,1996,4,2010,1
100,104,1,N,2,6,7778,12,Y,8,4,Y,8,1,35,3,1989,4,2009,8
101,105,1,N,2,6,17222,20,Y,3,3,Y,6,1,35,2,1993,6,2008,5
102,106,2,,2,6,9305,30,Y,9,7,Y,8,2,20,15,2002,2,2010,11
106,110,1,N,2,6,7683,11,Y,3,6,Y,8,1,34,5,1986,6,2012,5
107,111,1,N,2,5,6441,40,Y,2,26,Y,25,2,32,20,1991,7,2009,4
108,112,1,N,2,5,11944,30,N,3,2,Y,1,1,34,6,2002,2,2009,1
109,113,1,N,2,5,2263,99,Y,3,7,Y,7,2,32,6,2002,2,2003,3
110,114,1,N,2,5,10177,11,Y,9,1,Y,7,0,0,0,1989,11,2009,10
111,115,1,N,2,5,4816,12,Y,3,3,Y,7,2,30,4,1983,2,2015,12
112,116,2,,2,5,10710,11,Y,9,1,Y,12,2,29,4,1985,2,2016,2
113,117,1,N,2,5,16111,20,Y,1,10,Y,2,2,27,5,1994,9,2003,7
116,120,1,N,2,5,6805,20,Y,3,8,Y,18,2,30,5,1991,8,2003,3
117,121,1,N,2,5,10277,30,Y,2,7,Y,2,1,35,9,1990,11,2013,1
118,122,1,N,2,5,8968,40,Y,9,5,Y,8,2,30,1,1996,2,2004,5
119,123,2,,2,5,9722,20,Y,3,2,Y,1,3,23,3,1988,8,2004,4
120,124,1,N,2,5,23888,20,Y,3,2,Y,8,2,31,3,2000,7,2008,7
121,125,2,,2,5,2029,13,Y,3,4,Y,1,2,32,10,2001,2,2001,9
123,127,1,N,2,5,4544,13,Y,3,13,Y,8,2,22,14,1987,8,2013,3
125,129,1,N,2,5,28586,12,Y,9,3,Y,1,2,20,5,2002,4,2003,4
127,131,1,N,2,5,5972,30,Y,7,30,Y,7,3,26,48,1993,6,2009,10
128,132,1,N,2,5,28888,20,Y,9,23,Y,6,1,32,18,1992,2,2007,5
129,133,1,N,2,5,7500,30,Y,3,6,Y,10,0,0,8,2000,5,2002,7
130,134,1,N,2,5,11615,40,Y,8,10,Y,6,1,28,9,1992,5,2004,6
131,135,1,N,2,5,8874,12,Y,24,10,Y,2,2,24,9,1996,10,2003,1
132,136,1,N,2,5,11527,20,Y,24,2,Y,10,2,24,1,1996,6,2007,9
133,137,2,,1,5,14305,20,N,8,1,Y,9,2,21,1,2002,3,2013,1
134,138,1,N,2,5,28055,20,Y,9,2,Y,1,2,22,6,2002,2,2004,8
136,140,1,N,2,4,11111,30,Y,2,3,Y,6,2,23,3,1992,7,2003,5
137,141,1,N,2,4,6527,30,Y,9,8,Y,8,2,14,9,1996,8,2013,6
138,142,1,Y,2,4,13333,20,Y,3,3,Y,8,2,21,1,1994,11,2004,3
139,143,1,N,2,4,10833,30,Y,9,46,Y,9,2,18,22,1995,4,2001,7
140,144,1,N,2,4,29305,20,Y,1,2,Y,2,2,21,1,1999,2,1999,10
141,145,1,Y,2,4,16856,40,Y,2,14,Y,1,3,20,12,1995,9,2002,2
142,146,1,N,2,4,11111,20,Y,3,3,Y,12,2,21,5,2002,2,2015,1
144,148,1,N,2,4,2880,13,Y,9,0,Y,1,2,20,4,1995,5,2015,9
146,151,1,N,2,4,14305,30,Y,3,4,Y,9,1,22,6,1999,9,2002,2
149,154,1,N,2,4,14027,20,Y,3,0,Y,16,0,0,0,1998,10,1998,12
150,155,1,N,2,4,14166,30,Y,9,4,Y,1,1,19,5,2002,11,2012,6
152,157,1,N,1,5,8208,99,N,10,5,Y,9,2,20,5,2002,12,2015,9
153,158,1,N,2,4,15277,20,N,2,11,Y,2,2,20,10,2002,12,2006,11
154,159,1,N,2,5,7603,11,N,9,1,Y,2,2,21,1,2003,1,2003,5
156,161,2,,1,5,2638,20,N,6,3,Y,3,1,19,12,2003,2,2003,2
157,162,1,Y,2,6,7623,12,N,3,0,Y,2,0,0,0,2003,2,2007,12
158,163,1,N,1,4,12916,20,N,6,2,Y,3,2,24,1,2003,3,2005,6
159,164,1,N,2,4,2476,11,N,3,5,Y,8,2,21,7,2003,4,2007,12
160,165,1,N,2,6,6666,30,N,24,4,Y,6,0,0,2,2003,4,2004,9
161,166,1,N,2,5,19861,20,N,4,10,Y,19,2,24,5,2003,5,2011,12
162,167,1,N,1,6,18308,40,N,2,16,Y,9,2,32,2,2003,5,2003,9
164,169,1,N,1,6,19444,20,N,7,1,Y,3,1,33,2,2003,5,2008,7
166,206,1,N,1,8,11818,40,N,2,2,Y,3,0,0,3,2003,6,2000,8
172,213,1,N,2,7,15000,30,N,25,3,Y,12,0,0,1,2003,6,2003,5
177,219,1,N,1,7,4077,40,N,25,1,Y,3,0,0,0,2003,6,2003,5
181,224,1,N,2,7,19777,11,N,7,0,Y,7,0,0,3,2003,6,2001,3
186,234,1,N,1,7,5237,11,N,7,0,Y,3,0,0,3,2003,6,2003,5
187,235,1,N,2,7,19958,30,N,2,7,Y,2,0,0,10,2003,6,2007,8
189,237,1,N,2,7,4225,13,N,25,38,Y,2,0,0,10,2003,6,2006,8
195,245,1,N,2,7,9041,11,N,3,1,Y,1,0,0,0,2003,6,2006,11
196,246,1,N,2,7,3775,99,N,3,2,Y,10,0,0,3,2003,6,1999,11
197,247,1,N,2,7,1884,11,N,7,0,Y,7,0,0,0,2003,6,2000,5
199,249,1,N,2,7,8407,11,N,3,0,Y,9,0,0,0,2003,6,2003,5
202,252,2,,2,7,26189,11,N,3,5,Y,25,0,0,4,2003,6,2001,1
203,253,1,N,1,7,6944,20,N,7,2,Y,3,0,0,4,2003,6,2000,2
205,255,1,N,1,7,22465,11,N,7,7,Y,7,0,0,5,2003,6,2003,5
206,256,1,N,2,7,1772,12,N,3,0,Y,10,0,0,0,2003,6,2003,5
208,258,1,N,2,7,7109,11,N,3,2,Y,12,0,0,0,2003,6,2016,6
209,259,1,N,1,7,18317,30,N,25,12,Y,3,0,0,10,2003,6,2005,11
214,266,1,N,2,7,6084,11,N,3,3,Y,1,0,0,2,2003,6,2005,3
216,269,2,,1,7,4848,40,N,2,4,Y,2,1,34,2,2003,6,2012,3
217,270,1,N,1,7,35921,11,N,25,0,Y,3,1,28,0,2003,6,2002,10
218,272,1,N,2,7,8778,11,N,25,1,Y,7,0,0,0,2003,6,2015,6
221,276,1,N,2,6,16984,20,N,3,0,Y,8,0,0,0,2003,6,2005,9
224,279,1,N,2,6,55555,20,N,25,21,Y,2,0,0,4,2003,6,2003,7
225,280,1,N,1,6,6821,99,N,8,0,Y,3,0,0,0,2003,6,2003,5
229,284,1,N,1,6,4861,30,N,6,1,Y,3,0,0,1,2003,6,2005,1
231,288,1,N,2,6,18333,20,N,3,2,Y,25,0,0,2,2003,6,2007,10
235,294,1,N,1,6,14444,30,N,9,3,Y,9,0,0,11,2003,6,2003,5
236,295,1,N,1,6,17083,20,N,12,1,Y,1,0,0,0,2003,6,2016,6
238,297,2,,2,6,14444,20,N,3,1,Y,1,0,0,0,2003,6,2005,3
239,298,1,N,1,6,2398,11,N,7,2,Y,7,0,0,1,2003,6,2006,4
242,303,1,N,1,6,6671,13,N,2,0,Y,2,1,35,2,2003,6,2016,6
245,306,1,N,2,6,81527,20,N,1,0,Y,1,0,0,1,2003,6,2003,5
246,307,2,,1,6,15751,11,N,6,0,Y,3,0,0,1,2003,6,2003,5
248,310,1,N,2,6,6929,40,N,3,1,Y,11,0,0,0,2003,6,2004,3
249,311,1,N,1,6,21936,40,N,15,1,Y,3,1,35,1,2003,6,2003,5
251,313,1,N,1,6,0,11,N,7,16,Y,7,1,33,22,2003,6,2016,6
253,317,1,N,2,6,15000,20,N,3,0,Y,6,0,0,0,2003,6,2006,3
255,320,1,Y,2,6,16805,20,N,2,5,Y,1,0,0,16,2003,6,2003,6
258,324,1,N,1,6,3174,40,N,7,6,Y,3,1,32,4,2003,6,2007,10
259,325,1,N,2,6,9166,20,N,3,0,Y,8,0,0,0,2003,6,2003,5
260,326,1,Y,2,6,10694,20,N,3,2,Y,8,0,0,11,2003,6,2007,4
261,327,1,N,2,6,41805,20,N,3,3,Y,1,0,0,10,2003,6,2003,5
263,329,1,N,2,6,20138,20,N,25,1,Y,9,0,0,4,2003,6,2002,2
264,330,1,N,2,6,12403,11,N,2,0,Y,25,0,0,0,2003,6,2003,5
265,331,1,N,2,6,15416,30,N,3,1,Y,8,0,0,0,2003,6,2015,6
268,334,1,N,2,6,12361,30,N,3,2,Y,12,0,0,1,2003,6,2004,8
272,338,1,Y,2,6,14444,20,N,2,1,Y,8,0,0,2,2003,6,2004,10
276,343,1,N,2,6,12638,20,N,4,2,Y,1,0,0,4,2003,6,2004,12
278,345,1,N,2,6,2186,13,N,9,5,Y,6,0,0,4,2003,6,2004,4
280,347,1,N,1,6,19722,20,N,6,0,Y,3,0,0,0,2003,6,2003,5
282,349,1,N,1,6,7361,20,N,25,1,Y,25,0,0,2,2003,6,2008,2
283,350,1,Y,1,6,48724,11,N,1,4,Y,3,2,31,7,2003,6,2003,5
286,353,2,,1,6,39166,30,N,1,8,Y,3,0,0,14,2003,6,2007,4
287,354,1,N,2,6,6277,40,N,2,3,Y,2,0,0,4,2003,6,2015,9
288,356,1,N,2,6,27777,20,N,3,0,Y,8,1,35,0,2003,6,2003,5
289,357,1,N,2,6,5871,11,N,3,1,Y,10,0,0,1,2003,6,2015,8
290,358,1,N,2,6,7916,20,N,2,4,Y,8,0,0,2,2003,6,2011,5
292,360,1,Y,1,6,8316,99,N,8,2,Y,3,1,35,6,2003,6,2009,9
293,361,1,N,2,6,6748,99,N,8,1,Y,8,0,0,1,2003,6,2003,5
294,362,1,N,1,6,21111,20,N,8,1,Y,3,0,0,1,2003,6,2003,6
295,363,1,N,1,6,9773,12,N,1,2,Y,12,0,0,2,2003,6,2003,1
296,365,1,N,2,6,5555,20,N,3,1,Y,6,0,0,1,2003,6,2000,6
297,368,1,N,1,6,40737,20,N,1,2,Y,8,1,35,1,2003,6,2016,6
301,373,1,N,2,6,25555,20,N,9,3,Y,7,0,0,2,2003,6,2005,1
303,375,1,N,1,6,17222,20,N,2,0,Y,3,1,20,0,2003,6,2016,6
304,376,1,N,1,6,9506,13,N,6,0,Y,2,2,31,0,2003,6,2009,11
308,384,1,N,1,6,25555,20,N,8,6,Y,24,2,33,3,2003,6,2004,8
310,386,1,N,2,6,55000,20,N,3,4,Y,1,1,32,4,2003,6,2008,10
311,388,1,N,2,6,10075,40,N,9,1,Y,9,0,0,1,2003,6,2003,5
313,390,1,N,2,6,20555,20,N,3,1,Y,2,1,34,2,2003,6,2001,2
315,392,1,N,2,6,8333,20,N,9,1,Y,6,0,0,0,2003,6,2003,5
316,393,1,N,1,6,18611,20,N,18,19,Y,3,0,0,16,2003,6,2014,2
317,394,1,N,1,6,30254,40,N,2,1,Y,3,2,32,3,2003,6,2003,6
318,397,2,,2,6,6087,12,N,3,0,Y,25,0,0,0,2003,3,2016,6
321,401,2,,1,6,10555,20,N,1,1,Y,1,0,0,0,2003,6,2003,5
322,402,1,N,1,6,18190,11,N,1,1,Y,4,3,25,0,2003,6,2016,6
323,403,1,N,1,6,6409,40,N,2,3,Y,3,1,33,1,2003,6,2002,3
324,404,1,N,2,6,9642,12,N,3,2,Y,1,0,0,0,2003,6,2016,6
325,405,1,N,1,6,89166,20,N,2,12,Y,2,0,0,18,2003,6,2003,5
327,407,1,N,1,6,15555,20,N,2,0,Y,2,1,35,1,2003,6,2003,5
328,408,1,N,2,6,14993,30,N,3,4,Y,9,0,0,3,2003,6,2015,2
330,411,1,Y,2,6,7729,11,N,3,2,Y,1,0,0,1,2003,6,2002,10
334,415,1,N,2,6,20000,20,N,3,8,Y,13,0,0,3,2003,6,2008,2
335,416,1,N,2,6,8194,30,N,3,1,Y,8,0,0,1,2003,6,2007,9
336,417,2,,2,6,16805,20,N,3,2,Y,1,0,0,3,2003,6,2004,7
337,419,1,N,1,6,15138,20,N,19,4,Y,3,1,34,8,2003,6,2001,11
338,421,1,N,1,6,4704,11,N,7,1,Y,3,0,0,0,2003,6,2003,5
339,422,1,Y,2,6,38611,20,N,3,9,Y,12,1,34,7,2003,6,2005,3
340,423,1,N,1,6,5636,40,N,2,8,Y,2,1,31,7,2003,6,2013,3
341,424,1,N,1,6,4849,12,N,6,0,Y,3,1,32,4,2003,6,2010,11
345,429,1,N,1,6,31111,20,N,8,15,Y,3,2,29,20,2003,6,2007,1
346,430,1,N,2,6,3573,11,N,3,26,Y,2,1,19,17,2003,6,2003,3
348,433,2,,2,6,17361,20,N,3,3,Y,7,0,0,2,2003,6,2001,10
350,435,1,N,1,6,37083,20,N,4,2,Y,3,0,0,1,2003,6,2016,6
351,436,2,,2,6,14027,20,N,3,7,Y,8,1,34,13,2003,6,2004,7
352,438,1,N,2,6,8750,20,N,8,8,Y,8,0,0,11,2003,3,2014,10
353,439,1,N,1,6,13194,30,N,4,0,Y,3,0,0,3,2003,6,2002,12
356,443,1,N,2,6,37222,20,N,9,5,Y,2,1,35,3,2003,6,2001,1
357,444,1,N,2,6,20988,11,N,3,2,Y,6,2,25,1,2003,6,2010,6
358,445,1,Y,2,6,17916,20,N,3,1,Y,15,1,24,1,2003,6,2011,5
361,448,1,Y,1,6,9869,30,N,6,0,Y,3,0,0,0,2003,3,2012,2
362,450,1,N,2,6,55972,20,N,3,2,Y,2,1,35,1,2003,6,2016,6
363,451,2,,2,6,5263,12,N,3,1,Y,1,1,35,1,2003,6,2007,5
364,452,1,Y,2,6,20277,20,N,3,14,Y,2,2,29,6,2003,6,2010,4
365,453,2,,1,6,1137,11,N,8,2,Y,9,1,34,1,2003,6,2014,5
366,454,1,N,2,6,8452,11,N,3,2,Y,6,2,26,3,2003,6,2000,1
367,455,1,Y,2,6,10694,20,N,3,1,Y,1,2,25,1,2003,6,2014,6
368,456,1,Y,2,6,2351,11,N,3,2,Y,7,1,35,1,2003,6,2006,5
369,457,1,N,2,6,2988,40,N,9,12,Y,2,1,35,12,2003,6,2016,5
370,458,1,N,1,6,12500,20,N,7,0,Y,3,2,24,0,2003,6,2002,7
372,460,1,N,1,6,31666,20,N,1,4,Y,9,3,29,4,2003,6,2003,12
373,461,1,N,2,6,14305,30,N,3,0,Y,8,0,0,10,2003,6,2009,10
374,462,1,N,2,6,3041,13,N,2,1,Y,8,2,28,3,2003,6,2004,10
375,464,1,N,1,6,12869,11,N,2,0,Y,3,0,0,0,2003,6,2005,10
376,465,1,N,1,6,26666,20,N,2,0,Y,1,2,23,1,2003,6,2004,1
377,466,2,,2,6,3434,12,N,3,2,Y,8,1,33,1,2003,6,2003,5
378,468,1,N,2,6,16135,13,N,3,0,Y,1,0,0,0,2003,6,2003,5
379,469,1,Y,1,6,15138,30,N,1,2,Y,3,0,0,1,2003,6,2009,9
380,470,1,N,1,6,6834,40,N,2,7,Y,9,1,35,23,2003,6,2016,6
381,471,1,N,1,6,11662,99,Y,1,1,Y,3,3,32,4,2003,6,2008,8
382,472,1,Y,2,6,18333,30,N,12,9,Y,6,2,28,8,2003,6,2006,5
384,474,1,N,1,6,19094,99,N,2,0,Y,2,2,25,1,2003,6,2013,7
385,475,1,N,2,6,8285,99,N,3,5,Y,6,0,0,5,2003,6,2008,6
386,476,1,N,2,6,25555,20,N,3,0,Y,9,0,0,0,2003,6,2005,11
389,480,1,N,1,6,14267,12,N,2,1,Y,2,1,33,1,2003,6,2003,5
390,481,1,N,1,6,10136,40,N,9,0,Y,3,3,28,0,2003,6,1998,12
391,482,1,N,2,6,16302,11,N,2,4,Y,11,1,35,7,2003,1,2006,10
392,483,1,N,2,6,18888,20,N,21,2,Y,8,1,34,1,2003,6,2003,6
393,484,1,N,1,6,51250,20,N,1,1,Y,3,4,15,1,2003,3,2015,12
394,485,1,N,2,6,17361,20,N,2,2,Y,18,2,28,1,2003,6,2004,11
395,486,1,N,2,6,6344,20,N,3,0,Y,6,1,28,2,2003,6,2015,12
396,487,2,,2,6,5651,40,N,2,0,Y,2,1,30,10,2003,6,2001,9
397,488,2,,1,6,9080,12,N,9,3,Y,2,0,0,1,2003,6,2003,5
398,489,1,N,2,6,20699,11,N,3,1,Y,10,0,0,1,2003,6,2005,1
399,490,1,N,2,6,11573,12,N,3,5,Y,8,1,34,2,2003,6,2006,12
400,491,1,N,2,6,8827,40,N,2,5,Y,8,2,33,6,2003,6,2011,5
401,492,1,N,2,6,24722,20,N,3,11,Y,8,1,29,10,2003,6,2013,6
402,494,1,N,2,5,5883,40,N,9,3,Y,15,3,23,9,2003,6,2014,7
404,497,1,N,2,5,43472,20,N,2,21,Y,2,3,31,19,2003,6,2012,11
405,498,1,N,1,5,27496,11,N,10,0,Y,9,0,0,0,2003,6,2003,5
406,499,1,N,1,5,16666,20,N,1,3,Y,2,2,29,1,2003,6,2006,8
407,500,2,,1,5,38055,20,N,2,2,Y,3,1,31,3,2003,6,2006,6
409,503,1,N,1,5,10694,20,N,13,2,Y,3,3,28,2,2003,6,2011,12
410,504,1,N,1,5,46203,20,N,1,1,Y,3,2,25,1,2003,6,2003,5
413,507,1,N,1,5,32639,13,N,2,5,Y,2,3,26,1,2003,6,2003,5
415,509,1,N,2,5,22638,20,N,9,3,Y,7,0,0,2,2003,6,2011,12
416,510,1,N,2,5,13942,30,N,3,5,Y,1,0,0,3,2003,6,2007,3
417,511,1,N,2,5,12055,99,N,3,1,Y,8,1,26,0,2003,6,2016,6
418,514,1,N,2,5,30555,20,N,3,1,Y,10,2,26,1,2003,6,2003,5
421,517,1,N,1,5,30555,20,N,2,26,Y,3,1,27,42,2003,6,2004,9
422,518,1,N,2,5,9861,20,N,2,1,Y,2,0,0,1,2003,6,2003,10
423,521,1,N,2,5,20284,99,N,3,1,Y,1,2,32,0,2003,6,2003,5
425,524,1,N,2,5,23684,12,N,3,1,Y,8,2,29,2,2003,6,2004,11
426,525,1,Y,1,5,7361,30,N,2,0,Y,3,3,28,2,2003,6,1998,3
427,526,1,N,2,5,4209,13,N,3,3,Y,8,1,29,3,2003,6,2003,8
428,527,1,N,2,5,5109,40,N,2,23,Y,2,2,25,10,2003,6,2011,5
431,530,1,N,2,5,7787,40,N,2,5,Y,2,2,25,3,2003,6,2003,5
432,531,1,Y,2,5,7638,30,N,3,11,Y,25,0,0,18,2003,6,2003,5
434,534,2,,2,5,10277,30,N,2,3,Y,8,2,32,3,2003,6,2003,8
435,535,1,N,2,5,23333,20,N,2,8,Y,2,2,28,7,2003,6,2004,5
436,536,1,N,2,5,2639,13,N,12,1,Y,13,3,30,4,2003,6,2016,6
437,537,1,N,1,5,21527,20,N,1,3,Y,19,2,29,3,2003,6,2008,9
440,542,1,N,2,5,9591,11,N,3,2,Y,6,1,35,1,2003,6,2005,2
441,544,1,Y,1,5,27083,20,N,1,25,Y,3,3,11,449,2003,6,2005,2
442,545,1,Y,2,5,13333,20,N,3,2,Y,7,2,26,3,2003,6,2003,5
444,548,1,N,1,5,5114,11,N,2,3,Y,3,0,0,5,2003,6,2015,2
445,550,1,N,2,5,18973,99,N,3,0,Y,8,2,29,0,2003,6,2002,3
446,551,1,N,2,5,11429,40,N,2,12,Y,2,1,32,12,2003,6,2010,9
448,553,1,N,2,5,33888,20,N,2,23,Y,2,1,32,14,2003,6,2006,12
449,554,1,N,2,5,30000,20,N,3,0,Y,8,2,32,0,2003,6,2001,11
451,556,1,N,1,5,7638,20,N,9,6,Y,3,2,24,1,2003,6,2006,3
453,558,2,,2,5,6501,11,N,3,3,Y,8,0,0,3,2003,6,2005,7
454,559,1,N,1,5,20833,20,N,24,0,Y,3,2,29,0,2003,6,1999,1
456,561,1,Y,2,5,12777,20,N,3,0,Y,6,2,23,3,2003,6,2008,1
457,562,1,N,1,5,15833,20,N,9,0,Y,3,2,25,0,2003,6,2016,6
458,563,1,N,2,5,11894,12,N,3,4,Y,8,1,30,4,2003,6,2004,7
459,564,1,N,1,5,23750,20,N,1,2,Y,3,2,27,1,2003,6,2006,1
462,567,1,N,2,5,2455,12,N,3,2,Y,25,0,0,1,2003,6,2003,5
463,568,2,,1,5,9722,20,N,8,0,Y,1,2,25,1,2003,6,2003,5
464,570,1,Y,1,5,8055,30,N,2,0,Y,21,2,27,2,2003,6,2010,8
466,573,1,N,2,5,15016,11,N,7,1,Y,7,1,31,0,2003,6,2003,5
467,574,1,N,1,5,4118,99,N,7,4,Y,3,1,29,2,2003,6,2003,5
469,577,1,N,2,5,22582,11,N,3,1,Y,7,3,25,2,2003,6,2013,11
471,579,1,N,1,5,30000,20,N,8,4,Y,9,2,28,3,2003,6,2013,3
472,580,1,N,1,5,27222,20,N,8,2,Y,3,2,22,1,2003,6,2004,10
473,581,2,,1,5,3422,11,N,7,0,Y,3,0,0,4,2003,6,2016,4
475,583,1,N,2,5,10287,12,N,15,6,Y,9,2,22,6,2003,6,2004,6
476,584,1,N,2,5,2228,11,N,7,2,Y,7,2,28,2,2003,6,2016,6
478,586,1,N,1,5,40416,20,N,1,0,Y,2,2,24,0,2003,6,2003,5
479,587,1,N,2,5,16944,20,N,3,7,Y,1,0,0,26,2003,6,2016,6
