,CLLT_FP_PRNO,INCB_DVSN,ETRS_YM,FIRE_YM,BEFO_JOB,EDGB,BRCH_CODE
348,8746,R,200411,200601,0,고졸,77.0
349,26822,R,199705,200704,0,고졸,128.0
350,5402,R,200206,200804,0,중졸,235.0
351,7377,R,200402,201412,0,기타,116.0
352,9428,R,200505,200703,1,고졸,95.0
353,20489,P,198505,999912,0,고졸,120.0
354,9936,R,200510,200702,0,대학졸,141.0
355,9361,R,200505,200806,1,기타,171.0
356,20703,P,198107,999912,0,기타,136.0
357,7772,R,200405,200904,0,고졸,156.0
358,8284,R,200408,200705,0,기타,118.0
359,3941,R,200111,201401,1,고졸,307.0
360,10172,R,200512,200702,0,고졸,108.0
361,6259,R,200307,201407,0,기타,38.0
362,10378,R,200601,201003,1,기타,251.0
363,10350,R,200601,200606,1,기타,41.0
364,7137,R,200401,200808,0,고졸,38.0
365,10411,R,200602,200610,1,고졸,89.0
366,25865,R,199612,201403,0,고졸,59.0
367,6864,R,200311,200710,0,기타,21.0
368,9173,R,200503,200811,1,대학졸,231.0
369,10106,R,200512,200606,1,고졸,114.0
370,2154,R,200009,200802,0,고졸,88.0
371,24673,R,199506,200710,0,고졸,158.0
372,25244,P,199607,999912,0,고졸,45.0
373,5754,R,200305,201305,0,고졸,259.0
374,10952,R,200606,200810,1,고졸,51.0
375,10860,R,200605,200707,0,고졸,23.0
376,8762,R,200411,200707,1,기타,97.0
377,10676,R,200604,200703,0,고졸,160.0
378,28630,P,199809,999912,0,고졸,299.0
379,7825,R,200405,200709,0,기타,86.0
380,11186,R,200608,200702,1,기타,114.0
381,25781,R,199607,201102,0,고졸,160.0
382,11414,P,200610,999912,0,대학졸,50.0
383,28842,P,199809,999912,0,기타,103.0
384,10185,R,200512,200711,0,고졸,118.0
385,11485,R,200610,200710,0,고졸,37.0
386,10668,R,200604,201412,0,고졸,160.0
387,25284,P,199601,999912,0,고졸,44.0
388,11812,R,200701,201108,0,고졸,49.0
389,22338,P,199205,999912,0,고졸,78.0
390,29412,P,199812,999912,0,고졸,84.0
391,11621,R,200611,201001,1,전문대졸,277.0
392,11102,R,200607,200711,0,대학졸,181.0
393,12001,R,200703,200808,0,고졸,163.0
394,12034,R,200703,200711,0,기타,111.0
395,11788,R,200701,200806,0,대학졸,143.0
396,11880,R,200702,200908,0,고졸,88.0
397,28105,P,199812,999912,0,고졸,45.0
398,24411,P,199508,999912,0,고졸,299.0
399,12480,R,200707,200808,1,기타,177.0
400,1199,R,200002,201306,0,고졸,80.0
401,11256,R,200608,200712,0,고졸,58.0
402,12358,R,200706,200901,0,고졸,136.0
403,11843,R,200701,201001,1,고졸,277.0
404,12672,R,200709,200909,1,전문대졸,191.0
405,11902,R,200702,200907,0,고졸,44.0
406,12614,R,200709,201002,0,기타,11.0
407,13008,R,200712,200809,0,고졸,29.0
408,29234,R,199804,200810,0,고졸,205.0
409,13244,R,200802,201409,0,기타,163.0
410,12496,R,200707,200904,0,기타,232.0
411,13258,R,200802,201009,0,고졸,299.0
412,13388,R,200803,201010,1,기타,289.0
413,22877,R,199303,201605,0,고졸,47.0
414,13516,R,200804,201204,1,기타,312.0
415,9996,P,200510,999912,0,대학졸,143.0
416,10808,R,200605,201204,0,기타,121.0
417,13699,R,200806,201202,0,고졸,44.0
418,14215,R,200810,201203,1,기타,204.0
419,4030,P,200102,999912,0,대학졸,170.0
420,13559,R,200805,201203,0,고졸,111.0
421,14043,R,200809,201206,0,기타,145.0
422,13954,R,200808,201001,0,대학졸,21.0
423,11400,P,200609,999912,1,기타,312.0
424,13728,R,200806,201008,0,고졸,29.0
425,14516,R,200901,201207,0,고졸,143.0
426,14479,P,200812,999912,0,대학졸,11.0
427,22547,R,199208,201501,0,고졸,111.0
428,15168,R,200906,201108,1,전문대졸,170.0
429,3304,R,200104,201107,1,중졸,147.0
430,14796,R,200903,201009,0,고졸,278.0
431,13948,R,200808,200912,0,고졸,50.0
432,13872,R,200807,201307,0,전문대졸,300.0
433,15337,R,200908,201003,1,전문대졸,170.0
434,13857,P,200807,999912,0,고졸,21.0
435,9367,P,200505,999912,0,기타,16.0
436,13933,R,200808,200912,0,고졸,147.0
437,14275,R,200810,201308,0,기타,16.0
438,9548,P,200507,999912,0,기타,118.0
439,20648,P,198011,999912,0,기타,88.0
440,14860,R,200904,201010,0,고졸,32.0
441,15023,R,200905,201009,0,대학졸,80.0
442,14396,R,200811,201604,1,고졸,279.0
443,12820,P,200710,999912,0,고졸,16.0
444,15172,R,200906,201101,0,고졸,145.0
445,25855,R,199606,201310,0,전문대졸,154.0
446,15197,R,200907,201003,0,대학졸,150.0
447,13595,P,200805,999912,0,기타,55.0
448,15458,R,200909,201011,0,고졸,45.0
449,15153,R,200906,201010,1,기타,213.0
450,16137,R,201003,201503,0,대학졸,113.0
451,15143,R,200906,201008,0,고졸,45.0
452,31377,P,199903,999912,0,기타,154.0
453,4086,P,200212,999912,0,기타,19.0
454,16099,P,201002,999912,0,고졸,111.0
455,16059,R,201002,201309,1,기타,323.0
456,15609,R,200910,201101,0,고졸,156.0
457,14002,R,200808,201010,1,기타,289.0
458,16447,R,201006,201112,0,대학졸,80.0
459,16514,P,201006,999912,0,기타,25.0
460,28654,P,199812,999912,0,기타,80.0
461,10656,R,200603,201502,1,고졸,155.0
462,16857,P,201010,999912,0,기타,84.0
463,29579,R,199906,201110,0,기타,124.0
464,14436,R,200812,201306,0,기타,116.0
465,1690,R,200011,201105,0,대학졸,116.0
466,2955,R,200107,201504,0,고졸,84.0
467,13458,P,200804,999912,0,고졸,21.0
468,8825,P,200412,999912,0,기타,299.0
469,17591,P,201105,999912,0,기타,14.0
470,17612,R,201105,201312,0,대학졸,113.0
471,17704,R,201106,201511,0,기타,259.0
472,17426,R,201104,201203,1,기타,204.0
473,17210,P,201102,999912,0,고졸,90.0
474,17512,R,201104,201507,0,기타,284.0
475,17647,P,201106,999912,1,기타,269.0
476,17262,R,201102,201404,1,고졸,288.0
477,17701,R,201106,201201,1,기타,270.0
478,9104,P,200503,999912,0,기타,11.0
479,18021,P,201110,999912,0,고졸,49.0
480,17054,R,201012,201305,0,기타,124.0
481,17898,R,201109,201602,0,고졸,45.0
482,15934,P,201001,999912,0,기타,143.0
483,10664,R,200604,201212,0,대학졸,154.0
484,17710,R,201106,201308,0,고졸,42.0
485,18088,P,201111,999912,0,대학졸,96.0
486,18107,R,201111,201304,0,기타,146.0
487,17903,P,201109,999912,0,기타,44.0
488,17893,R,201109,201301,0,대학졸,14.0
489,16747,P,201009,999912,0,대학졸,38.0
490,16763,P,201009,999912,0,기타,86.0
491,18539,R,201206,201602,0,기타,88.0
492,18622,R,201207,201402,0,고졸,305.0
493,18852,P,201210,999912,0,고졸,318.0
494,18902,R,201211,201410,0,고졸,88.0
495,17228,P,201102,999912,0,기타,125.0
496,17733,R,201107,201605,0,기타,75.0
497,19045,R,201301,201506,0,대학졸,16.0
498,18923,R,201211,201409,0,대학졸,143.0
499,17811,R,201108,201407,0,기타,156.0
500,19052,P,201301,999912,1,전문대졸,191.0
501,16648,R,201008,201510,0,기타,82.0
502,10418,P,200602,999912,0,기타,55.0
503,18898,R,201211,201402,1,기타,313.0
504,19186,R,201303,201407,0,기타,111.0
505,24008,P,199506,999912,0,고졸,75.0
506,19037,P,201301,999912,0,기타,299.0
507,19035,R,201301,201404,0,기타,32.0
508,19608,R,201312,201501,0,기타,90.0
509,18318,R,201203,201406,0,대학졸,21.0
510,17867,R,201108,201502,0,고졸,111.0
511,17813,P,201108,999912,0,기타,45.0
512,19540,P,201310,999912,0,기타,120.0
513,19646,R,201312,201409,0,기타,170.0
514,19669,R,201401,201410,0,고졸,116.0
515,18613,P,201207,999912,0,기타,75.0
516,27849,P,199803,999912,0,고졸,21.0
517,19789,R,201404,201604,0,고졸,75.0
518,19844,R,201406,201501,0,기타,57.0
519,19666,R,201401,201507,0,기타,13.0
520,18838,P,201210,999912,0,기타,145.0
521,19461,P,201308,999912,0,고졸,13.0
522,18448,P,201205,999912,0,기타,305.0
523,20141,P,201503,999912,0,고졸,280.0
524,19699,P,201402,999912,0,기타,29.0
525,18889,P,201210,999912,0,고졸,299.0
526,20323,P,201603,999912,0,기타,302.0
527,26173,R,199703,200007,0,기타,99999999.0
528,26772,R,199703,200111,0,고졸,103.0
529,23130,R,199303,200105,0,고졸,141.0
530,23204,R,199311,199812,0,고졸,158.0
531,27503,R,199801,199807,0,고졸,55.0
532,26648,R,199709,199806,0,고졸,88.0
533,20535,R,197109,200111,0,고졸,99999999.0
534,21073,R,198801,200008,0,고졸,78.0
535,26523,R,199701,200107,0,고졸,42.0
536,23982,R,199503,200502,0,고졸,55.0
537,27231,R,199708,199910,0,고졸,156.0
538,24183,R,199502,200809,0,고졸,78.0
539,22535,R,199212,199809,0,기타,105.0
540,26957,R,199706,199901,0,고졸,145.0
541,26586,R,199711,199807,0,고졸,90.0
542,26533,R,199705,200301,0,고졸,42.0
543,22581,R,199211,199807,0,고졸,141.0
544,29225,R,199803,199903,0,고졸,99999999.0
545,26369,R,199711,200106,0,고졸,45.0
546,23888,R,199409,199906,0,기타,143.0
547,28018,R,199804,199812,0,고졸,64.0
548,22955,R,199303,200004,0,고졸,80.0
549,26879,R,199711,199812,0,고졸,106.0
550,28005,R,199805,199905,0,고졸,99999999.0
551,23457,R,199409,200209,0,기타,64.0
552,29158,R,199807,199810,0,고졸,150.0
553,21147,R,198804,200802,0,고졸,113.0
554,6100,R,200304,201010,0,고졸,156.0
555,3625,R,200104,200312,0,대학졸,204.0
556,2661,R,200103,200502,0,중졸,29.0
557,24788,P,199512,999912,0,기타,125.0
558,26168,R,199707,200404,0,고졸,17.0
559,5172,R,200202,200603,1,고졸,68.0
560,1938,R,200006,200506,0,고졸,205.0
561,24587,R,199508,200902,0,고졸,141.0
562,3904,R,200111,200906,1,중졸,281.0
563,4600,R,200202,200601,0,고졸,118.0
564,27099,R,199710,200603,0,기타,148.0
565,3984,R,200105,200512,0,고졸,191.0
566,29764,R,199911,200910,0,고졸,69.0
567,30135,P,199902,999912,0,고졸,45.0
568,20864,P,198702,999912,0,고졸,11.0
569,7028,C,200312,200312,0,고졸,163.0
570,26773,R,199705,201412,0,기타,103.0
571,6184,R,200306,201010,0,고졸,49.0
572,6189,R,200306,200603,0,고졸,66.0
573,27268,R,199710,200706,0,고졸,205.0
574,5319,R,200202,200806,0,고졸,244.0
575,7271,R,200401,200411,0,고졸,32.0
576,894,P,200001,999912,0,고졸,29.0
577,5049,R,200201,201104,1,고졸,274.0
578,3081,R,200102,200509,0,대학졸,103.0
579,28204,R,199805,201012,0,고졸,29.0
580,6516,R,200309,200407,0,고졸,8.0
581,6504,R,200308,200410,0,고졸,90.0
582,24464,R,199505,201210,0,고졸,103.0
583,22530,R,199201,200912,0,고졸,100.0
584,7567,R,200403,200406,0,기타,12.0
585,4531,R,200209,200609,0,고졸,86.0
586,7961,R,200406,200601,0,대학졸,16.0
587,7986,R,200406,200409,0,고졸,160.0
588,23514,R,199403,201409,0,기타,59.0
589,7110,R,200312,200603,0,고졸,191.0
590,26776,R,199709,200812,0,고졸,103.0
591,6417,R,200308,200608,0,전문대졸,116.0
592,29206,P,199804,999912,0,고졸,167.0
593,28571,R,199807,200802,0,기타,88.0
594,21686,R,199001,200610,0,고졸,84.0
595,3447,R,200103,200911,0,기타,163.0
596,7027,R,200312,201201,0,기타,29.0
597,22765,R,199301,201102,0,기타,19.0
598,8255,R,200408,200511,0,고졸,24.0
599,26000,R,199706,200908,0,고졸,55.0
600,2986,R,200104,200509,0,고졸,118.0
601,7438,R,200403,200507,0,고졸,84.0
602,8248,R,200408,200503,0,기타,24.0
603,2687,R,200104,200509,0,전문대졸,47.0
604,4745,R,200207,200504,0,기타,111.0
605,3928,R,200111,201003,1,기타,286.0
606,21582,R,199012,200611,0,고졸,127.0
