,CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MATE_OCCP_GRP,CHLD_CNT,LTBN_CHLD_AGE,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH
140,145,1,Y,2,4,16856,40.0,Y,2,14,Y,1,3.0,20.0,12,1995,9,2002,2
141,146,1,N,2,4,11111,20.0,Y,3,3,Y,12,2.0,21.0,5,2002,2,2015,1
143,148,1,N,2,4,2880,13.0,Y,9,0,Y,1,2.0,20.0,4,1995,5,2015,9
145,151,1,N,2,4,14305,30.0,Y,3,4,Y,9,1.0,22.0,6,1999,9,2002,2
148,154,1,N,2,4,14027,20.0,Y,3,0,Y,16,0.0,0.0,0,1998,10,1998,12
149,155,1,N,2,4,14166,30.0,Y,9,4,Y,1,1.0,19.0,5,2002,11,2012,6
151,157,1,N,1,5,8208,99.0,N,10,5,Y,9,2.0,20.0,5,2002,12,2015,9
152,158,1,N,2,4,15277,20.0,N,2,11,Y,2,2.0,20.0,10,2002,12,2006,11
153,159,1,N,2,5,7603,11.0,N,9,1,Y,2,2.0,21.0,1,2003,1,2003,5
155,161,2,,1,5,2638,20.0,N,6,3,Y,3,1.0,19.0,12,2003,2,2003,2
156,162,1,Y,2,6,7623,12.0,N,3,0,Y,2,0.0,0.0,0,2003,2,2007,12
157,163,1,N,1,4,12916,20.0,N,6,2,Y,3,2.0,24.0,1,2003,3,2005,6
158,164,1,N,2,4,2476,11.0,N,3,5,Y,8,2.0,21.0,7,2003,4,2007,12
159,165,1,N,2,6,6666,30.0,N,24,4,Y,6,0.0,0.0,2,2003,4,2004,9
160,166,1,N,2,5,19861,20.0,N,4,10,Y,19,2.0,24.0,5,2003,5,2011,12
161,167,1,N,1,6,18308,40.0,N,2,16,Y,9,2.0,32.0,2,2003,5,2003,9
163,169,1,N,1,6,19444,20.0,N,7,1,Y,3,1.0,33.0,2,2003,5,2008,7
165,206,1,N,1,8,11818,40.0,N,2,2,Y,3,0.0,0.0,3,2003,6,2000,8
171,213,1,N,2,7,15000,30.0,N,25,3,Y,12,0.0,0.0,1,2003,6,2003,5
176,219,1,N,1,7,4077,40.0,N,25,1,Y,3,0.0,0.0,0,2003,6,2003,5
180,224,1,N,2,7,19777,11.0,N,7,0,Y,7,0.0,0.0,3,2003,6,2001,3
185,234,1,N,1,7,5237,11.0,N,7,0,Y,3,0.0,0.0,3,2003,6,2003,5
186,235,1,N,2,7,19958,30.0,N,2,7,Y,2,0.0,0.0,10,2003,6,2007,8
188,237,1,N,2,7,4225,13.0,N,25,38,Y,2,0.0,0.0,10,2003,6,2006,8
194,245,1,N,2,7,9041,11.0,N,3,1,Y,1,0.0,0.0,0,2003,6,2006,11
195,246,1,N,2,7,3775,99.0,N,3,2,Y,10,0.0,0.0,3,2003,6,1999,11
196,247,1,N,2,7,1884,11.0,N,7,0,Y,7,0.0,0.0,0,2003,6,2000,5
198,249,1,N,2,7,8407,11.0,N,3,0,Y,9,0.0,0.0,0,2003,6,2003,5
201,252,2,,2,7,26189,11.0,N,3,5,Y,25,0.0,0.0,4,2003,6,2001,1
202,253,1,N,1,7,6944,20.0,N,7,2,Y,3,0.0,0.0,4,2003,6,2000,2
204,255,1,N,1,7,22465,11.0,N,7,7,Y,7,0.0,0.0,5,2003,6,2003,5
205,256,1,N,2,7,1772,12.0,N,3,0,Y,10,0.0,0.0,0,2003,6,2003,5
207,258,1,N,2,7,7109,11.0,N,3,2,Y,12,0.0,0.0,0,2003,6,2016,6
208,259,1,N,1,7,18317,30.0,N,25,12,Y,3,0.0,0.0,10,2003,6,2005,11
213,266,1,N,2,7,6084,11.0,N,3,3,Y,1,0.0,0.0,2,2003,6,2005,3
215,269,2,,1,7,4848,40.0,N,2,4,Y,2,1.0,34.0,2,2003,6,2012,3
216,270,1,N,1,7,35921,11.0,N,25,0,Y,3,1.0,28.0,0,2003,6,2002,10
217,272,1,N,2,7,8778,11.0,N,25,1,Y,7,0.0,0.0,0,2003,6,2015,6
220,276,1,N,2,6,16984,20.0,N,3,0,Y,8,0.0,0.0,0,2003,6,2005,9
223,279,1,N,2,6,55555,20.0,N,25,21,Y,2,0.0,0.0,4,2003,6,2003,7
224,280,1,N,1,6,6821,99.0,N,8,0,Y,3,0.0,0.0,0,2003,6,2003,5
228,284,1,N,1,6,4861,30.0,N,6,1,Y,3,0.0,0.0,1,2003,6,2005,1
230,288,1,N,2,6,18333,20.0,N,3,2,Y,25,0.0,0.0,2,2003,6,2007,10
234,294,1,N,1,6,14444,30.0,N,9,3,Y,9,0.0,0.0,11,2003,6,2003,5
235,295,1,N,1,6,17083,20.0,N,12,1,Y,1,0.0,0.0,0,2003,6,2016,6
237,297,2,,2,6,14444,20.0,N,3,1,Y,1,0.0,0.0,0,2003,6,2005,3
238,298,1,N,1,6,2398,11.0,N,7,2,Y,7,0.0,0.0,1,2003,6,2006,4
241,303,1,N,1,6,6671,13.0,N,2,0,Y,2,1.0,35.0,2,2003,6,2016,6
244,306,1,N,2,6,81527,20.0,N,1,0,Y,1,0.0,0.0,1,2003,6,2003,5
245,307,2,,1,6,15751,11.0,N,6,0,Y,3,0.0,0.0,1,2003,6,2003,5
247,310,1,N,2,6,6929,40.0,N,3,1,Y,11,0.0,0.0,0,2003,6,2004,3
248,311,1,N,1,6,21936,40.0,N,15,1,Y,3,1.0,35.0,1,2003,6,2003,5
250,313,1,N,1,6,0,11.0,N,7,16,Y,7,1.0,33.0,22,2003,6,2016,6
252,317,1,N,2,6,15000,20.0,N,3,0,Y,6,0.0,0.0,0,2003,6,2006,3
254,320,1,Y,2,6,16805,20.0,N,2,5,Y,1,0.0,0.0,16,2003,6,2003,6
257,324,1,N,1,6,3174,40.0,N,7,6,Y,3,1.0,32.0,4,2003,6,2007,10
258,325,1,N,2,6,9166,20.0,N,3,0,Y,8,0.0,0.0,0,2003,6,2003,5
259,326,1,Y,2,6,10694,20.0,N,3,2,Y,8,0.0,0.0,11,2003,6,2007,4
260,327,1,N,2,6,41805,20.0,N,3,3,Y,1,0.0,0.0,10,2003,6,2003,5
262,329,1,N,2,6,20138,20.0,N,25,1,Y,9,0.0,0.0,4,2003,6,2002,2
263,330,1,N,2,6,12403,11.0,N,2,0,Y,25,0.0,0.0,0,2003,6,2003,5
264,331,1,N,2,6,15416,30.0,N,3,1,Y,8,0.0,0.0,0,2003,6,2015,6
267,334,1,N,2,6,12361,30.0,N,3,2,Y,12,0.0,0.0,1,2003,6,2004,8
271,338,1,Y,2,6,14444,20.0,N,2,1,Y,8,0.0,0.0,2,2003,6,2004,10
275,343,1,N,2,6,12638,20.0,N,4,2,Y,1,0.0,0.0,4,2003,6,2004,12
277,345,1,N,2,6,2186,13.0,N,9,5,Y,6,0.0,0.0,4,2003,6,2004,4
279,347,1,N,1,6,19722,20.0,N,6,0,Y,3,0.0,0.0,0,2003,6,2003,5
281,349,1,N,1,6,7361,20.0,N,25,1,Y,25,0.0,0.0,2,2003,6,2008,2
282,350,1,Y,1,6,48724,11.0,N,1,4,Y,3,2.0,31.0,7,2003,6,2003,5
285,353,2,,1,6,39166,30.0,N,1,8,Y,3,0.0,0.0,14,2003,6,2007,4
286,354,1,N,2,6,6277,40.0,N,2,3,Y,2,0.0,0.0,4,2003,6,2015,9
287,356,1,N,2,6,27777,20.0,N,3,0,Y,8,1.0,35.0,0,2003,6,2003,5
288,357,1,N,2,6,5871,11.0,N,3,1,Y,10,0.0,0.0,1,2003,6,2015,8
289,358,1,N,2,6,7916,20.0,N,2,4,Y,8,0.0,0.0,2,2003,6,2011,5
291,360,1,Y,1,6,8316,99.0,N,8,2,Y,3,1.0,35.0,6,2003,6,2009,9
292,361,1,N,2,6,6748,99.0,N,8,1,Y,8,0.0,0.0,1,2003,6,2003,5
293,362,1,N,1,6,21111,20.0,N,8,1,Y,3,0.0,0.0,1,2003,6,2003,6
294,363,1,N,1,6,9773,12.0,N,1,2,Y,12,0.0,0.0,2,2003,6,2003,1
295,365,1,N,2,6,5555,20.0,N,3,1,Y,6,0.0,0.0,1,2003,6,2000,6
296,368,1,N,1,6,40737,20.0,N,1,2,Y,8,1.0,35.0,1,2003,6,2016,6
300,373,1,N,2,6,25555,20.0,N,9,3,Y,7,0.0,0.0,2,2003,6,2005,1
302,375,1,N,1,6,17222,20.0,N,2,0,Y,3,1.0,20.0,0,2003,6,2016,6
303,376,1,N,1,6,9506,13.0,N,6,0,Y,2,2.0,31.0,0,2003,6,2009,11
307,384,1,N,1,6,25555,20.0,N,8,6,Y,24,2.0,33.0,3,2003,6,2004,8
309,386,1,N,2,6,55000,20.0,N,3,4,Y,1,1.0,32.0,4,2003,6,2008,10
310,388,1,N,2,6,10075,40.0,N,9,1,Y,9,0.0,0.0,1,2003,6,2003,5
312,390,1,N,2,6,20555,20.0,N,3,1,Y,2,1.0,34.0,2,2003,6,2001,2
314,392,1,N,2,6,8333,20.0,N,9,1,Y,6,0.0,0.0,0,2003,6,2003,5
315,393,1,N,1,6,18611,20.0,N,18,19,Y,3,0.0,0.0,16,2003,6,2014,2
316,394,1,N,1,6,30254,40.0,N,2,1,Y,3,2.0,32.0,3,2003,6,2003,6
317,397,2,,2,6,6087,12.0,N,3,0,Y,25,0.0,0.0,0,2003,3,2016,6
320,401,2,,1,6,10555,20.0,N,1,1,Y,1,0.0,0.0,0,2003,6,2003,5
321,402,1,N,1,6,18190,11.0,N,1,1,Y,4,3.0,25.0,0,2003,6,2016,6
322,403,1,N,1,6,6409,40.0,N,2,3,Y,3,1.0,33.0,1,2003,6,2002,3
323,404,1,N,2,6,9642,12.0,N,3,2,Y,1,0.0,0.0,0,2003,6,2016,6
324,405,1,N,1,6,89166,20.0,N,2,12,Y,2,0.0,0.0,18,2003,6,2003,5
326,407,1,N,1,6,15555,20.0,N,2,0,Y,2,1.0,35.0,1,2003,6,2003,5
327,408,1,N,2,6,14993,30.0,N,3,4,Y,9,0.0,0.0,3,2003,6,2015,2
329,411,1,Y,2,6,7729,11.0,N,3,2,Y,1,0.0,0.0,1,2003,6,2002,10
333,415,1,N,2,6,20000,20.0,N,3,8,Y,13,0.0,0.0,3,2003,6,2008,2
334,416,1,N,2,6,8194,30.0,N,3,1,Y,8,0.0,0.0,1,2003,6,2007,9
335,417,2,,2,6,16805,20.0,N,3,2,Y,1,0.0,0.0,3,2003,6,2004,7
336,419,1,N,1,6,15138,20.0,N,19,4,Y,3,1.0,34.0,8,2003,6,2001,11
337,421,1,N,1,6,4704,11.0,N,7,1,Y,3,0.0,0.0,0,2003,6,2003,5
338,422,1,Y,2,6,38611,20.0,N,3,9,Y,12,1.0,34.0,7,2003,6,2005,3
339,423,1,N,1,6,5636,40.0,N,2,8,Y,2,1.0,31.0,7,2003,6,2013,3
340,424,1,N,1,6,4849,12.0,N,6,0,Y,3,1.0,32.0,4,2003,6,2010,11
344,429,1,N,1,6,31111,20.0,N,8,15,Y,3,2.0,29.0,20,2003,6,2007,1
345,430,1,N,2,6,3573,11.0,N,3,26,Y,2,1.0,19.0,17,2003,6,2003,3
347,433,2,,2,6,17361,20.0,N,3,3,Y,7,0.0,0.0,2,2003,6,2001,10
349,435,1,N,1,6,37083,20.0,N,4,2,Y,3,0.0,0.0,1,2003,6,2016,6
350,436,2,,2,6,14027,20.0,N,3,7,Y,8,1.0,34.0,13,2003,6,2004,7
351,438,1,N,2,6,8750,20.0,N,8,8,Y,8,0.0,0.0,11,2003,3,2014,10
352,439,1,N,1,6,13194,30.0,N,4,0,Y,3,0.0,0.0,3,2003,6,2002,12
355,443,1,N,2,6,37222,20.0,N,9,5,Y,2,1.0,35.0,3,2003,6,2001,1
356,444,1,N,2,6,20988,11.0,N,3,2,Y,6,2.0,25.0,1,2003,6,2010,6
357,445,1,Y,2,6,17916,20.0,N,3,1,Y,15,1.0,24.0,1,2003,6,2011,5
360,448,1,Y,1,6,9869,30.0,N,6,0,Y,3,0.0,0.0,0,2003,3,2012,2
361,450,1,N,2,6,55972,20.0,N,3,2,Y,2,1.0,35.0,1,2003,6,2016,6
362,451,2,,2,6,5263,12.0,N,3,1,Y,1,1.0,35.0,1,2003,6,2007,5
363,452,1,Y,2,6,20277,20.0,N,3,14,Y,2,2.0,29.0,6,2003,6,2010,4
364,453,2,,1,6,1137,11.0,N,8,2,Y,9,1.0,34.0,1,2003,6,2014,5
365,454,1,N,2,6,8452,11.0,N,3,2,Y,6,2.0,26.0,3,2003,6,2000,1
366,455,1,Y,2,6,10694,20.0,N,3,1,Y,1,2.0,25.0,1,2003,6,2014,6
367,456,1,Y,2,6,2351,11.0,N,3,2,Y,7,1.0,35.0,1,2003,6,2006,5
368,457,1,N,2,6,2988,40.0,N,9,12,Y,2,1.0,35.0,12,2003,6,2016,5
369,458,1,N,1,6,12500,20.0,N,7,0,Y,3,2.0,24.0,0,2003,6,2002,7
371,460,1,N,1,6,31666,20.0,N,1,4,Y,9,3.0,29.0,4,2003,6,2003,12
372,461,1,N,2,6,14305,30.0,N,3,0,Y,8,0.0,0.0,10,2003,6,2009,10
373,462,1,N,2,6,3041,13.0,N,2,1,Y,8,2.0,28.0,3,2003,6,2004,10
374,464,1,N,1,6,12869,11.0,N,2,0,Y,3,0.0,0.0,0,2003,6,2005,10
375,465,1,N,1,6,26666,20.0,N,2,0,Y,1,2.0,23.0,1,2003,6,2004,1
376,466,2,,2,6,3434,12.0,N,3,2,Y,8,1.0,33.0,1,2003,6,2003,5
377,468,1,N,2,6,16135,13.0,N,3,0,Y,1,0.0,0.0,0,2003,6,2003,5
378,469,1,Y,1,6,15138,30.0,N,1,2,Y,3,0.0,0.0,1,2003,6,2009,9
379,470,1,N,1,6,6834,40.0,N,2,7,Y,9,1.0,35.0,23,2003,6,2016,6
380,471,1,N,1,6,11662,99.0,Y,1,1,Y,3,3.0,32.0,4,2003,6,2008,8
381,472,1,Y,2,6,18333,30.0,N,12,9,Y,6,2.0,28.0,8,2003,6,2006,5
383,474,1,N,1,6,19094,99.0,N,2,0,Y,2,2.0,25.0,1,2003,6,2013,7
384,475,1,N,2,6,8285,99.0,N,3,5,Y,6,0.0,0.0,5,2003,6,2008,6
385,476,1,N,2,6,25555,20.0,N,3,0,Y,9,0.0,0.0,0,2003,6,2005,11
388,480,1,N,1,6,14267,12.0,N,2,1,Y,2,1.0,33.0,1,2003,6,2003,5
389,481,1,N,1,6,10136,40.0,N,9,0,Y,3,3.0,28.0,0,2003,6,1998,12
390,482,1,N,2,6,16302,11.0,N,2,4,Y,11,1.0,35.0,7,2003,1,2006,10
391,483,1,N,2,6,18888,20.0,N,21,2,Y,8,1.0,34.0,1,2003,6,2003,6
392,484,1,N,1,6,51250,20.0,N,1,1,Y,3,4.0,15.0,1,2003,3,2015,12
393,485,1,N,2,6,17361,20.0,N,2,2,Y,18,2.0,28.0,1,2003,6,2004,11
394,486,1,N,2,6,6344,20.0,N,3,0,Y,6,1.0,28.0,2,2003,6,2015,12
395,487,2,,2,6,5651,40.0,N,2,0,Y,2,1.0,30.0,10,2003,6,2001,9
396,488,2,,1,6,9080,12.0,N,9,3,Y,2,0.0,0.0,1,2003,6,2003,5
397,489,1,N,2,6,20699,11.0,N,3,1,Y,10,0.0,0.0,1,2003,6,2005,1
398,490,1,N,2,6,11573,12.0,N,3,5,Y,8,1.0,34.0,2,2003,6,2006,12
399,491,1,N,2,6,8827,40.0,N,2,5,Y,8,2.0,33.0,6,2003,6,2011,5
400,492,1,N,2,6,24722,20.0,N,3,11,Y,8,1.0,29.0,10,2003,6,2013,6
401,494,1,N,2,5,5883,40.0,N,9,3,Y,15,3.0,23.0,9,2003,6,2014,7
403,497,1,N,2,5,43472,20.0,N,2,21,Y,2,3.0,31.0,19,2003,6,2012,11
404,498,1,N,1,5,27496,11.0,N,10,0,Y,9,0.0,0.0,0,2003,6,2003,5
405,499,1,N,1,5,16666,20.0,N,1,3,Y,2,2.0,29.0,1,2003,6,2006,8
406,500,2,,1,5,38055,20.0,N,2,2,Y,3,1.0,31.0,3,2003,6,2006,6
408,503,1,N,1,5,10694,20.0,N,13,2,Y,3,3.0,28.0,2,2003,6,2011,12
409,504,1,N,1,5,46203,20.0,N,1,1,Y,3,2.0,25.0,1,2003,6,2003,5
412,507,1,N,1,5,32639,13.0,N,2,5,Y,2,3.0,26.0,1,2003,6,2003,5
414,509,1,N,2,5,22638,20.0,N,9,3,Y,7,0.0,0.0,2,2003,6,2011,12
415,510,1,N,2,5,13942,30.0,N,3,5,Y,1,0.0,0.0,3,2003,6,2007,3
416,511,1,N,2,5,12055,99.0,N,3,1,Y,8,1.0,26.0,0,2003,6,2016,6
417,514,1,N,2,5,30555,20.0,N,3,1,Y,10,2.0,26.0,1,2003,6,2003,5
420,517,1,N,1,5,30555,20.0,N,2,26,Y,3,1.0,27.0,42,2003,6,2004,9
421,518,1,N,2,5,9861,20.0,N,2,1,Y,2,0.0,0.0,1,2003,6,2003,10
422,521,1,N,2,5,20284,99.0,N,3,1,Y,1,2.0,32.0,0,2003,6,2003,5
424,524,1,N,2,5,23684,12.0,N,3,1,Y,8,2.0,29.0,2,2003,6,2004,11
